########## REPORT GEN: 2 ##########
SPECIES: 
Rose           		Mean: 227.14 		Best: 900.71 		N:4
Fletcher       		Mean: 113.91 		Best: 900.7 		N:8
Houlihan       		Mean: 182.42 		Best: 900.71 		N:5
Franklin       		Mean: 182.22 		Best: 900.54 		N:5
Spinks         		Mean: 228.17 		Best: 900.71 		N:4
Smith          		Mean: 130.28 		Best: 900.74 		N:7
Grove          		Mean: 114.03 		Best: 900.71 		N:8
Villamar       		Mean: 227.32 		Best: 900.86 		N:4
Pestana        		Mean: 182.21 		Best: 900.71 		N:5
Mitchell       		Mean: 151.74 		Best: 900.7 		N:6

########## REPORT GEN: 21 ##########
SPECIES: 
Stinger        		Mean: 152.84 		Best: 913.67 		N:6
Adair          		Mean: 152.58 		Best: 913.67 		N:6
Spinks         		Mean: 152.15 		Best: 913.67 		N:6
Toney          		Mean: 152.14 		Best: 911.79 		N:6
Liles          		Mean: 114.68 		Best: 911.79 		N:8
Deremer        		Mean: 83.38 		Best: 911.79 		N:11
Villamar       		Mean: 91.44 		Best: 908.91 		N:10
Mitchell       		Mean: 91.45 		Best: 907.21 		N:10
Day            		Mean: 114.14 		Best: 905.72 		N:8
Houlihan       		Mean: 91.43 		Best: 901.0 		N:10
Pestana        		Mean: 114.23 		Best: 901.0 		N:8
Covino         		Mean: 113.72 		Best: 900.86 		N:8
Grove          		Mean: 113.75 		Best: 900.86 		N:8
Fletcher       		Mean: 82.84 		Best: 901.0 		N:11
Franklin       		Mean: 303.95 		Best: 900.75 		N:3
Roberts        		Mean: 70.23 		Best: 900.73 		N:13
Smith          		Mean: 302.96 		Best: 900.63 		N:3
Thompson       		Mean: 91.39 		Best: 900.72 		N:10
Rose           		Mean: 227.4 		Best: 900.54 		N:4
Hutson         		Mean: 151.87 		Best: 900.54 		N:6
Roth           		Mean: 227.39 		Best: 900.52 		N:4

########## REPORT GEN: 22 ##########
SPECIES: 
Adair          		Mean: 152.37 		Best: 913.67 		N:6
Day            		Mean: 75.92 		Best: 913.67 		N:12
Covino         		Mean: 130.13 		Best: 911.79 		N:7
Grove          		Mean: 65.49 		Best: 913.67 		N:14
Franklin       		Mean: 76.28 		Best: 911.79 		N:12
Hutson         		Mean: 114.7 		Best: 911.79 		N:8
Mitchell       		Mean: 101.58 		Best: 908.91 		N:9
Pestana        		Mean: 152.83 		Best: 907.21 		N:6
Stinger        		Mean: 455.93 		Best: 901.0 		N:2
Fletcher       		Mean: 101.33 		Best: 900.79 		N:9
Deremer        		Mean: 151.95 		Best: 900.75 		N:6
Roberts        		Mean: 91.31 		Best: 900.75 		N:10
Roth           		Mean: 101.09 		Best: 900.75 		N:9
Liles          		Mean: 101.24 		Best: 900.72 		N:9
Thompson       		Mean: 303.31 		Best: 900.54 		N:3
Smith          		Mean: 227.47 		Best: 900.52 		N:4
Houlihan       		Mean: 151.77 		Best: 900.45 		N:6
Villamar       		Mean: 113.58 		Best: 900.54 		N:8
Toney          		Mean: 151.76 		Best: 900.52 		N:6
Rose           		Mean: 302.8 		Best: 900.4 		N:3
Spinks         		Mean: 227.65 		Best: 900.75 		N:4

########## REPORT GEN: 23 ##########
SPECIES: 
Adair          		Mean: 129.78 		Best: 913.67 		N:7
Covino         		Mean: 151.75 		Best: 913.67 		N:6
Mitchell       		Mean: 130.58 		Best: 911.79 		N:7
Liles          		Mean: 101.76 		Best: 911.79 		N:9
Thompson       		Mean: 101.83 		Best: 911.79 		N:9
Spinks         		Mean: 101.49 		Best: 911.79 		N:9
