########## REPORT GEN: 2 ##########
SPECIES: 
Cole           		Mean: 1.01 		Best: 9.6 		Nº:5
Ransdell       		Mean: 1.05 		Best: 9.6 		Nº:5
Haine          		Mean: 1.07 		Best: 9.6 		Nº:3
Lavoie         		Mean: 1.01 		Best: 8.71 		Nº:5
Sanchez        		Mean: 0.66 		Best: 8.71 		Nº:5
Mcbride        		Mean: 1.03 		Best: 8.71 		Nº:4
Headley        		Mean: 0.31 		Best: 7.77 		Nº:5
Combs          		Mean: 0.97 		Best: 7.77 		Nº:4
Kidd           		Mean: 0.31 		Best: 7.77 		Nº:5
Cochran        		Mean: 0.87 		Best: 7.77 		Nº:3
Clary          		Mean: 0.22 		Best: 7.77 		Nº:6
Holcombe       		Mean: 0.87 		Best: 7.77 		Nº:3
Vick           		Mean: 0.0  		Best: 0.0 		Nº:3
Jones          		Mean: 0.0  		Best: 0.0 		Nº:4
Jackson        		Mean: 0.0  		Best: 0.0 		Nº:4
Crow           		Mean: 0.0  		Best: 0.0 		Nº:2

########## REPORT GEN: 17 ##########
SPECIES: 
Oconnor        		Mean: 3.0  		Best: 9.6 		Nº:3
Rodriguez      		Mean: 0.62 		Best: 9.6 		Nº:10
Rooker         		Mean: 0.43 		Best: 9.6 		Nº:11
Magana         		Mean: 1.74 		Best: 9.6 		Nº:5
Stoica         		Mean: 0.54 		Best: 9.6 		Nº:8
Ransdell       		Mean: 0.29 		Best: 9.6 		Nº:8
Sanchez        		Mean: 0.77 		Best: 9.6 		Nº:5
Mcbride        		Mean: 0.39 		Best: 9.6 		Nº:8
Combs          		Mean: 0.39 		Best: 9.6 		Nº:7
Clary          		Mean: 2.04 		Best: 9.6 		Nº:3
Edward         		Mean: 0.89 		Best: 8.71 		Nº:6
Schluter       		Mean: 0.34 		Best: 8.71 		Nº:7
Cole           		Mean: 0.53 		Best: 8.71 		Nº:8
Haine          		Mean: 0.24 		Best: 8.71 		Nº:6
Lavoie         		Mean: 0.65 		Best: 8.71 		Nº:8
Headley        		Mean: 2.18 		Best: 8.71 		Nº:2
Cochran        		Mean: 0.73 		Best: 8.71 		Nº:6
Kidd           		Mean: 1.95 		Best: 7.77 		Nº:2
Holcombe       		Mean: 0.22 		Best: 7.77 		Nº:6
