########## REPORT GEN: 2 ##########
SPECIES: 
########## REPORT GEN: 29 ##########
SPECIES: 
Markley        		Mean: 129.87 		Best: 905.92 		N:7
Oliver         		Mean: 181.56 		Best: 905.92 		N:5
Norman         		Mean: 181.83 		Best: 904.75 		N:5
Dobson         		Mean: 181.14 		Best: 903.61 		N:5
George         		Mean: 100.91 		Best: 903.61 		N:9
Klaus          		Mean: 453.93 		Best: 903.61 		N:2
Mcgown         		Mean: 300.41 		Best: 897.45 		N:3
Darden         		Mean: 64.62 		Best: 897.45 		N:14
Grant          		Mean: 300.66 		Best: 897.45 		N:3
Darden         		Mean: 225.62 		Best: 897.45 		N:4
Gordon         		Mean: 112.85 		Best: 897.45 		N:8
Joseph         		Mean: 451.04 		Best: 897.45 		N:2
Brandt         		Mean: 128.8 		Best: 897.45 		N:7

########## REPORT GEN: 30 ##########
SPECIES: 
Darden         		Mean: 130.13 		Best: 912.18 		N:7
Oliver         		Mean: 303.08 		Best: 905.92 		N:3
Dobson         		Mean: 151.5 		Best: 905.92 		N:6
Klaus          		Mean: 151.16 		Best: 905.92 		N:6
George         		Mean: 129.42 		Best: 903.61 		N:7
Darden         		Mean: 182.26 		Best: 903.61 		N:5
Gordon         		Mean: 180.91 		Best: 897.45 		N:5
Grant          		Mean: 100.39 		Best: 897.45 		N:9
Brandt         		Mean: 150.1 		Best: 897.45 		N:6
Markley        		Mean: 300.88 		Best: 897.45 		N:3
Norman         		Mean: 225.7 		Best: 897.45 		N:4
Mcgown         		Mean: 112.78 		Best: 897.45 		N:8

########## REPORT GEN: 31 ##########
SPECIES: 
Grant          		Mean: 101.23 		Best: 912.18 		N:9
George         		Mean: 227.59 		Best: 905.92 		N:4
Joseph         		Mean: 100.67 		Best: 905.92 		N:9
Norman         		Mean: 181.92 		Best: 905.92 		N:5
Mcgown         		Mean: 303.03 		Best: 905.92 		N:3
Darden         		Mean: 113.23 		Best: 903.61 		N:8
Markley        		Mean: 302.35 		Best: 903.61 		N:3
Brandt         		Mean: 151.05 		Best: 901.39 		N:6
Gordon         		Mean: 449.22 		Best: 897.45 		N:2
Dobson         		Mean: 450.96 		Best: 897.45 		N:2
Oliver         		Mean: 180.14 		Best: 897.45 		N:5
Klaus          		Mean: 300.71 		Best: 897.45 		N:3
Darden         		Mean: 300.64 		Best: 897.45 		N:3

########## REPORT GEN: 32 ##########
SPECIES: 
Dobson         		Mean: 228.0 		Best: 912.18 		N:4
Grant          		Mean: 129.72 		Best: 911.97 		N:7
Norman         		Mean: 129.51 		Best: 905.92 		N:7
Darden         		Mean: 227.55 		Best: 905.92 		N:4
Brandt         		Mean: 100.79 		Best: 905.92 		N:9
Oliver         		Mean: 181.2 		Best: 903.61 		N:5
Darden         		Mean: 151.3 		Best: 903.61 		N:6
Markley        		Mean: 129.48 		Best: 901.39 		N:7
Klaus          		Mean: 150.15 		Best: 897.45 		N:6
George         		Mean: 225.56 		Best: 897.45 		N:4
Joseph         		Mean: 450.88 		Best: 897.45 		N:2
Gordon         		Mean: 180.51 		Best: 897.45 		N:5

########## REPORT GEN: 33 ##########
SPECIES: 
Grant          		Mean: 304.22 		Best: 915.71 		N:3
Joseph         		Mean: 113.29 		Best: 912.04 		N:8
Gordon         		Mean: 228.13 		Best: 911.97 		N:4
Dobson         		Mean: 226.37 		Best: 905.92 		N:4
Darden         		Mean: 303.29 		Best: 905.92 		N:3
George         		Mean: 129.78 		Best: 905.92 		N:7
Norman         		Mean: 301.94 		Best: 903.61 		N:3
Mcgown         		Mean: 113.11 		Best: 901.39 		N:8
Klaus          		Mean: 302.61 		Best: 901.39 		N:3
Brandt         		Mean: 150.53 		Best: 897.45 		N:6
Darden         		Mean: 180.58 		Best: 897.45 		N:5
Oliver         		Mean: 180.3 		Best: 897.45 		N:5
Markley        		Mean: 448.97 		Best: 897.45 		N:2

########## REPORT GEN: 34 ##########
SPECIES: 
Mcgown         		Mean: 113.92 		Best: 915.71 		N:8
Darden         		Mean: 82.64 		Best: 915.19 		N:11
Brandt         		Mean: 303.41 		Best: 911.97 		N:3
Joseph         		Mean: 226.55 		Best: 906.44 		N:4
Markley        		Mean: 303.52 		Best: 906.44 		N:3
George         		Mean: 113.67 		Best: 905.92 		N:8
Oliver         		Mean: 181.35 		Best: 905.92 		N:5
Dobson         		Mean: 226.72 		Best: 903.61 		N:4
Grant          		Mean: 90.71 		Best: 903.19 		N:10
Klaus          		Mean: 226.66 		Best: 901.39 		N:4
Gordon         		Mean: 180.78 		Best: 897.45 		N:5
Darden         		Mean: 300.55 		Best: 897.45 		N:3
Norman         		Mean: 180.43 		Best: 897.45 		N:5

########## REPORT GEN: 35 ##########
SPECIES: 
Dobson         		Mean: 184.12 		Best: 938.82 		N:5
Oliver         		Mean: 457.06 		Best: 916.97 		N:2
Darden         		Mean: 130.08 		Best: 915.71 		N:7
Grant          		Mean: 151.64 		Best: 915.71 		N:6
Darden         		Mean: 82.63 		Best: 912.67 		N:11
Markley        		Mean: 151.18 		Best: 911.97 		N:6
Brandt         		Mean: 129.39 		Best: 906.44 		N:7
Joseph         		Mean: 129.36 		Best: 906.44 		N:7
George         		Mean: 181.97 		Best: 906.44 		N:5
Mcgown         		Mean: 151.49 		Best: 905.92 		N:6
