########## REPORT GEN: 2 ##########
SPECIES: 
Carter         		Mean: 16.46 		Best: 185.97 		Nº:8
Whitaker       		Mean: 19.38 		Best: 185.97 		Nº:8
Leggett        		Mean: 44.27 		Best: 185.97 		Nº:4
Winfield       		Mean: 35.9 		Best: 185.97 		Nº:5
Stephens       		Mean: 16.88 		Best: 185.97 		Nº:8
Caines         		Mean: 14.18 		Best: 185.97 		Nº:5
Roussell       		Mean: 28.77 		Best: 185.97 		Nº:5
Bubrig         		Mean: 46.58 		Best: 185.97 		Nº:2
Huppert        		Mean: 39.32 		Best: 185.97 		Nº:3
Leland         		Mean: 21.28 		Best: 185.97 		Nº:5
Cortez         		Mean: 44.27 		Best: 185.97 		Nº:4
Holloway       		Mean: 11.69 		Best: 185.97 		Nº:4
Gray           		Mean: 22.19 		Best: 185.97 		Nº:7
Morrow         		Mean: 20.73 		Best: 185.97 		Nº:3
Davis          		Mean: 28.03 		Best: 177.1 		Nº:5
Wilson         		Mean: 39.45 		Best: 177.1 		Nº:3
Montgomery     		Mean: 44.36 		Best: 177.1 		Nº:2
Richards       		Mean: 44.5 		Best: 177.1 		Nº:2
Wright         		Mean: 0.0  		Best: 0.0 		Nº:5

########## REPORT GEN: 12 ##########
SPECIES: 
Richardson     		Mean: 60.19 		Best: 185.97 		Nº:3
Zins           		Mean: 19.41 		Best: 185.97 		Nº:6
Carter         		Mean: 11.66 		Best: 185.97 		Nº:4
Winfield       		Mean: 20.23 		Best: 185.97 		Nº:6
Stephens       		Mean: 33.21 		Best: 185.97 		Nº:4
Leland         		Mean: 20.69 		Best: 185.97 		Nº:3
Cortez         		Mean: 17.88 		Best: 185.97 		Nº:7
Davis          		Mean: 22.13 		Best: 185.97 		Nº:4
Wilson         		Mean: 14.77 		Best: 185.97 		Nº:6
Montgomery     		Mean: 23.3 		Best: 185.97 		Nº:4
Richards       		Mean: 22.16 		Best: 185.97 		Nº:4
Compton        		Mean: 46.75 		Best: 185.97 		Nº:2
Franklin       		Mean: 38.49 		Best: 177.1 		Nº:3
