########## REPORT GEN: 2 ##########
SPECIES: 
Jara           		Mean: 102.57 		Best: 999.35 		N:9
Shriver        		Mean: 186.1 		Best: 960.05 		N:5
Strohman       		Mean: 186.43 		Best: 960.05 		N:5
Hunt           		Mean: 115.47 		Best: 960.05 		N:8
Tim            		Mean: 185.42 		Best: 960.05 		N:5
Corry          		Mean: 91.77 		Best: 950.39 		N:10
Starr          		Mean: 113.34 		Best: 929.25 		N:8
Yuro           		Mean: 227.49 		Best: 929.25 		N:4
Gittens        		Mean: 75.55 		Best: 919.89 		N:12
Clark          		Mean: 150.77 		Best: 900.06 		N:6
Walker         		Mean: 129.29 		Best: 900.06 		N:7

