########## REPORT GEN: 2 ##########
SPECIES: 
Berry          		Mean: 132.43 		Best: 929.09 		N:7
Patterson      		Mean: 153.72 		Best: 925.49 		N:6
Smith          		Mean: 184.85 		Best: 921.97 		N:5
Brooks         		Mean: 460.79 		Best: 921.58 		N:2
Bailey         		Mean: 153.5 		Best: 919.74 		N:6
Canter         		Mean: 308.13 		Best: 919.47 		N:3
Drake          		Mean: 183.74 		Best: 914.29 		N:5
Wolf           		Mean: 228.93 		Best: 913.6 		N:4

########## REPORT GEN: 16 ##########
SPECIES: 
Roberts        		Mean: 235.52 		Best: 941.16 		N:4
Stull          		Mean: 189.44 		Best: 941.16 		N:5
Hernandez      		Mean: 470.7 		Best: 941.16 		N:2
Curry          		Mean: 134.74 		Best: 941.16 		N:7
Travis         		Mean: 188.4 		Best: 935.07 		N:5
Drake          		Mean: 309.26 		Best: 929.09 		N:3
Argueta        		Mean: 468.3 		Best: 925.49 		N:2
Patterson      		Mean: 185.01 		Best: 925.49 		N:5
Smith          		Mean: 231.03 		Best: 921.97 		N:4
Brooks         		Mean: 184.66 		Best: 921.58 		N:5
Bailey         		Mean: 306.4 		Best: 919.74 		N:3
Canter         		Mean: 305.31 		Best: 915.95 		N:3
Berry          		Mean: 229.28 		Best: 914.29 		N:4
Wolf           		Mean: 305.1 		Best: 913.6 		N:3

########## REPORT GEN: 17 ##########
SPECIES: 
Roberts        		Mean: 104.97 		Best: 941.16 		N:9
Hernandez      		Mean: 315.39 		Best: 941.16 		N:3
Curry          		Mean: 134.21 		Best: 941.16 		N:7
Travis         		Mean: 465.47 		Best: 929.68 		N:2
Drake          		Mean: 231.43 		Best: 929.09 		N:4
Wolf           		Mean: 231.59 		Best: 925.49 		N:4
Argueta        		Mean: 308.22 		Best: 921.97 		N:3
Brooks         		Mean: 184.77 		Best: 921.58 		N:5
Stull          		Mean: 153.67 		Best: 919.83 		N:6
Bailey         		Mean: 153.17 		Best: 919.74 		N:6
Smith          		Mean: 231.89 		Best: 921.97 		N:4
Canter         		Mean: 152.73 		Best: 915.95 		N:6
