########## REPORT GEN: 2 ##########
SPECIES: 
Horton         		Mean: 152.94 		Best: 900.56 		N:6
Burr           		Mean: 114.77 		Best: 900.5 		N:8
Wilson         		Mean: 130.77 		Best: 900.34 		N:7
Siefke         		Mean: 91.74 		Best: 900.63 		N:10
Porter         		Mean: 65.67 		Best: 900.34 		N:14
Mcqueen        		Mean: 114.87 		Best: 900.34 		N:8
Mclemore       		Mean: 114.79 		Best: 900.38 		N:8
Campbell       		Mean: 153.15 		Best: 900.28 		N:6
Denton         		Mean: 114.67 		Best: 900.37 		N:8
Bitter         		Mean: 228.34 		Best: 900.26 		N:4
Miles          		Mean: 101.44 		Best: 900.25 		N:9

########## REPORT GEN: 18 ##########
SPECIES: 
Hanson         		Mean: 84.17 		Best: 934.03 		N:11
Bowers         		Mean: 115.19 		Best: 934.03 		N:8
Siefke         		Mean: 70.88 		Best: 934.03 		N:13
Campbell       		Mean: 83.35 		Best: 934.03 		N:11
Wilson         		Mean: 115.33 		Best: 928.25 		N:8
Miles          		Mean: 131.19 		Best: 906.49 		N:7
Mclemore       		Mean: 129.34 		Best: 900.97 		N:7
Bitter         		Mean: 101.36 		Best: 900.83 		N:9
Burr           		Mean: 70.34 		Best: 900.76 		N:13
Parker         		Mean: 91.82 		Best: 900.73 		N:10
Horton         		Mean: 114.45 		Best: 900.39 		N:8
Sides          		Mean: 91.55 		Best: 900.36 		N:10
Wade           		Mean: 114.91 		Best: 900.62 		N:8
Stark          		Mean: 101.88 		Best: 900.36 		N:9
Kurtz          		Mean: 101.77 		Best: 900.24 		N:9
Mcqueen        		Mean: 91.61 		Best: 900.97 		N:10
Christian      		Mean: 114.25 		Best: 900.27 		N:8
Porter         		Mean: 129.85 		Best: 900.24 		N:7
Denton         		Mean: 114.8 		Best: 900.27 		N:8

########## REPORT GEN: 19 ##########
SPECIES: 
Siefke         		Mean: 114.94 		Best: 934.03 		N:8
Wilson         		Mean: 76.92 		Best: 934.03 		N:12
Stark          		Mean: 83.37 		Best: 934.03 		N:11
Mcqueen        		Mean: 61.08 		Best: 934.03 		N:15
Denton         		Mean: 102.41 		Best: 934.03 		N:9
Burr           		Mean: 83.64 		Best: 928.25 		N:11
Mclemore       		Mean: 91.52 		Best: 900.62 		N:10
Bitter         		Mean: 153.57 		Best: 906.49 		N:6
Porter         		Mean: 76.36 		Best: 900.62 		N:12
Parker         		Mean: 53.81 		Best: 900.5 		N:17
Christian      		Mean: 101.9 		Best: 900.27 		N:9
Hanson         		Mean: 129.82 		Best: 900.26 		N:7
Horton         		Mean: 83.29 		Best: 900.26 		N:11
Kurtz          		Mean: 91.65 		Best: 900.76 		N:10
Miles          		Mean: 70.25 		Best: 900.35 		N:13
Sides          		Mean: 82.75 		Best: 900.97 		N:11
Wade           		Mean: 182.71 		Best: 900.19 		N:5
Bowers         		Mean: 91.39 		Best: 900.36 		N:10
Campbell       		Mean: 181.79 		Best: 900.17 		N:5

########## REPORT GEN: 20 ##########
SPECIES: 
Siefke         		Mean: 70.65 		Best: 934.03 		N:13
Mcqueen        		Mean: 131.46 		Best: 934.03 		N:7
Mclemore       		Mean: 61.3 		Best: 934.03 		N:15
Bitter         		Mean: 83.39 		Best: 934.03 		N:11
Parker         		Mean: 76.47 		Best: 934.03 		N:12
Horton         		Mean: 153.96 		Best: 934.03 		N:6
Miles          		Mean: 83.34 		Best: 934.03 		N:11
Burr           		Mean: 101.85 		Best: 933.28 		N:9
Kurtz          		Mean: 91.83 		Best: 923.35 		N:10
Campbell       		Mean: 130.89 		Best: 900.83 		N:7
Porter         		Mean: 76.1 		Best: 900.26 		N:12
Sides          		Mean: 151.56 		Best: 900.26 		N:6
Wade           		Mean: 114.26 		Best: 900.2 		N:8
Denton         		Mean: 90.5 		Best: 900.2 		N:10
Hanson         		Mean: 451.44 		Best: 900.19 		N:2
Christian      		Mean: 130.55 		Best: 900.19 		N:7
Stark          		Mean: 91.21 		Best: 900.27 		N:10
Bowers         		Mean: 82.6 		Best: 900.24 		N:11
Wilson         		Mean: 101.47 		Best: 900.5 		N:9

########## REPORT GEN: 21 ##########
SPECIES: 
Mclemore       		Mean: 65.7 		Best: 934.03 		N:14
Parker         		Mean: 184.36 		Best: 934.03 		N:5
Burr           		Mean: 102.08 		Best: 934.03 		N:9
Porter         		Mean: 114.59 		Best: 934.03 		N:8
Sides          		Mean: 91.74 		Best: 934.03 		N:10
Wilson         		Mean: 83.03 		Best: 933.28 		N:11
Horton         		Mean: 83.05 		Best: 923.35 		N:11
Mcqueen        		Mean: 83.48 		Best: 908.86 		N:11
Hanson         		Mean: 91.37 		Best: 900.83 		N:10
Bitter         		Mean: 101.57 		Best: 900.43 		N:9
Stark          		Mean: 76.03 		Best: 900.47 		N:12
Denton         		Mean: 152.2 		Best: 900.27 		N:6
Siefke         		Mean: 181.92 		Best: 900.26 		N:5
Campbell       		Mean: 151.27 		Best: 900.2 		N:6
Miles          		Mean: 227.77 		Best: 900.19 		N:4
Kurtz          		Mean: 113.74 		Best: 900.19 		N:8
Christian      		Mean: 113.52 		Best: 900.48 		N:8
Wade           		Mean: 130.14 		Best: 900.26 		N:7
Bowers         		Mean: 302.84 		Best: 900.18 		N:3

########## REPORT GEN: 22 ##########
SPECIES: 
Burr           		Mean: 91.7 		Best: 934.03 		N:10
Mcqueen        		Mean: 131.32 		Best: 934.03 		N:7
Bitter         		Mean: 91.77 		Best: 934.03 		N:10
Miles          		Mean: 152.58 		Best: 934.03 		N:6
Christian      		Mean: 114.34 		Best: 934.03 		N:8
Kurtz          		Mean: 91.89 		Best: 934.03 		N:10
Denton         		Mean: 91.48 		Best: 923.35 		N:10
Sides          		Mean: 101.25 		Best: 914.36 		N:9
Wade           		Mean: 82.94 		Best: 908.86 		N:11
Hanson         		Mean: 151.71 		Best: 900.83 		N:6
Porter         		Mean: 227.69 		Best: 900.43 		N:4
Bowers         		Mean: 129.9 		Best: 900.41 		N:7
Parker         		Mean: 101.26 		Best: 900.26 		N:9
Mclemore       		Mean: 91.2 		Best: 900.23 		N:10
Horton         		Mean: 152.15 		Best: 900.41 		N:6
Stark          		Mean: 91.29 		Best: 900.19 		N:10
Wilson         		Mean: 129.97 		Best: 900.17 		N:7
Siefke         		Mean: 113.17 		Best: 900.17 		N:8
Campbell       		Mean: 113.07 		Best: 900.84 		N:8

########## REPORT GEN: 23 ##########
SPECIES: 
Miles          		Mean: 75.94 		Best: 934.03 		N:12
Wade           		Mean: 50.99 		Best: 934.03 		N:18
Porter         		Mean: 92.07 		Best: 934.03 		N:10
Horton         		Mean: 101.72 		Best: 934.03 		N:9
Kurtz          		Mean: 114.11 		Best: 933.28 		N:8
Christian      		Mean: 91.61 		Best: 928.25 		N:10
Burr           		Mean: 131.05 		Best: 923.35 		N:7
Bowers         		Mean: 83.3 		Best: 923.35 		N:11
Hanson         		Mean: 101.31 		Best: 914.36 		N:9
Bitter         		Mean: 114.52 		Best: 908.86 		N:8
Mclemore       		Mean: 113.79 		Best: 900.83 		N:8
Mcqueen        		Mean: 100.92 		Best: 900.26 		N:9
Sides          		Mean: 129.92 		Best: 900.2 		N:7
Parker         		Mean: 113.9 		Best: 900.19 		N:8
Campbell       		Mean: 75.64 		Best: 900.17 		N:12
Denton         		Mean: 129.28 		Best: 900.16 		N:7
Stark          		Mean: 150.89 		Best: 900.15 		N:6
Siefke         		Mean: 90.86 		Best: 900.16 		N:10
Wilson         		Mean: 100.67 		Best: 900.17 		N:9

########## REPORT GEN: 24 ##########
SPECIES: 
Burr           		Mean: 53.93 		Best: 934.03 		N:17
Bitter         		Mean: 91.16 		Best: 934.03 		N:10
Parker         		Mean: 114.17 		Best: 934.03 		N:8
Kurtz          		Mean: 131.17 		Best: 933.28 		N:7
Miles          		Mean: 76.12 		Best: 928.36 		N:12
Wilson         		Mean: 75.95 		Best: 928.36 		N:12
Sides          		Mean: 70.56 		Best: 928.25 		N:13
Porter         		Mean: 305.87 		Best: 923.35 		N:3
Christian      		Mean: 90.91 		Best: 908.86 		N:10
Hanson         		Mean: 113.79 		Best: 908.86 		N:8
Stark          		Mean: 75.96 		Best: 908.86 		N:12
Mcqueen        		Mean: 75.74 		Best: 900.85 		N:12
Mclemore       		Mean: 90.89 		Best: 900.2 		N:10
Bowers         		Mean: 90.86 		Best: 900.24 		N:10
Campbell       		Mean: 53.51 		Best: 900.2 		N:17
Wade           		Mean: 101.15 		Best: 900.16 		N:9
Denton         		Mean: 101.02 		Best: 900.15 		N:9
Horton         		Mean: 90.57 		Best: 900.14 		N:10
Siefke         		Mean: 150.89 		Best: 900.36 		N:6

########## REPORT GEN: 25 ##########
SPECIES: 
Sides          		Mean: 153.51 		Best: 934.03 		N:6
Mclemore       		Mean: 114.32 		Best: 934.03 		N:8
Christian      		Mean: 76.29 		Best: 928.36 		N:12
Hanson         		Mean: 114.89 		Best: 928.36 		N:8
Bowers         		Mean: 101.35 		Best: 928.36 		N:9
Miles          		Mean: 76.22 		Best: 928.25 		N:12
Siefke         		Mean: 76.17 		Best: 923.35 		N:12
Wade           		Mean: 75.79 		Best: 908.86 		N:12
Horton         		Mean: 65.32 		Best: 908.86 		N:14
Bitter         		Mean: 113.24 		Best: 900.35 		N:8
Porter         		Mean: 82.54 		Best: 900.17 		N:11
Kurtz          		Mean: 152.06 		Best: 900.43 		N:6
Wilson         		Mean: 75.54 		Best: 900.25 		N:12
Burr           		Mean: 130.16 		Best: 900.16 		N:7
Campbell       		Mean: 151.29 		Best: 900.13 		N:6
Mcqueen        		Mean: 226.56 		Best: 900.13 		N:4
Stark          		Mean: 82.38 		Best: 900.18 		N:11
Denton         		Mean: 181.36 		Best: 900.13 		N:5
Parker         		Mean: 151.0 		Best: 900.18 		N:6

########## REPORT GEN: 26 ##########
SPECIES: 
Porter         		Mean: 114.4 		Best: 934.03 		N:8
Denton         		Mean: 65.43 		Best: 934.03 		N:14
Siefke         		Mean: 101.61 		Best: 928.36 		N:9
Horton         		Mean: 130.47 		Best: 928.36 		N:7
Kurtz          		Mean: 91.22 		Best: 928.36 		N:10
Burr           		Mean: 114.15 		Best: 928.25 		N:8
Wilson         		Mean: 82.73 		Best: 923.35 		N:11
Christian      		Mean: 91.43 		Best: 908.86 		N:10
Bitter         		Mean: 101.5 		Best: 908.86 		N:9
Bowers         		Mean: 82.49 		Best: 902.46 		N:11
Sides          		Mean: 82.88 		Best: 900.43 		N:11
Wade           		Mean: 113.81 		Best: 900.16 		N:8
Mcqueen        		Mean: 82.5 		Best: 900.16 		N:11
Stark          		Mean: 129.7 		Best: 900.35 		N:7
Hanson         		Mean: 150.97 		Best: 900.11 		N:6
Parker         		Mean: 100.73 		Best: 900.18 		N:9
Mclemore       		Mean: 90.75 		Best: 900.11 		N:10
Campbell       		Mean: 129.6 		Best: 900.09 		N:7

########## REPORT GEN: 27 ##########
SPECIES: 
Siefke         		Mean: 91.68 		Best: 934.03 		N:10
Parker         		Mean: 114.4 		Best: 934.03 		N:8
Horton         		Mean: 76.17 		Best: 928.36 		N:12
Stark          		Mean: 130.68 		Best: 928.36 		N:7
Denton         		Mean: 152.28 		Best: 928.25 		N:6
Wade           		Mean: 152.33 		Best: 923.35 		N:6
Kurtz          		Mean: 130.6 		Best: 908.86 		N:7
