########## REPORT GEN: 2 ##########
SPECIES: 
Kotterna       		Mean: 82.14 		Best: 927.03 		N:11
Nance          		Mean: 56.62 		Best: 925.4 		N:16
Collazo        		Mean: 90.67 		Best: 924.61 		N:10
Morris         		Mean: 60.26 		Best: 923.16 		N:15
Wegner         		Mean: 64.42 		Best: 920.97 		N:14
Lee            		Mean: 100.75 		Best: 919.96 		N:9
Tuggle         		Mean: 128.88 		Best: 910.75 		N:7
Harris         		Mean: 82.03 		Best: 907.89 		N:11
Jones          		Mean: 69.56 		Best: 903.98 		N:13
Burke          		Mean: 149.22 		Best: 900.7 		N:6
Andrews        		Mean: 81.44 		Best: 899.16 		N:11
Berry          		Mean: 112.8 		Best: 897.54 		N:8
Oldham         		Mean: 112.77 		Best: 895.9 		N:8

########## REPORT GEN: 22 ##########
SPECIES: 
Tuggle         		Mean: 69.74 		Best: 931.13 		N:13
Andrews        		Mean: 89.97 		Best: 927.89 		N:10
Koehn          		Mean: 53.09 		Best: 927.88 		N:17
Aguilar        		Mean: 82.36 		Best: 924.41 		N:11
Berry          		Mean: 82.37 		Best: 922.41 		N:11
Nance          		Mean: 50.22 		Best: 922.0 		N:18
Wegner         		Mean: 50.09 		Best: 920.2 		N:18
Jones          		Mean: 180.71 		Best: 919.97 		N:5
Morris         		Mean: 59.83 		Best: 918.48 		N:15
Ferrell        		Mean: 225.77 		Best: 916.22 		N:4
Harris         		Mean: 81.97 		Best: 908.74 		N:11
Lee            		Mean: 75.39 		Best: 909.22 		N:12
Oldham         		Mean: 149.91 		Best: 904.33 		N:6
Kotterna       		Mean: 112.24 		Best: 900.85 		N:8
Collazo        		Mean: 69.0 		Best: 897.99 		N:13
Burke          		Mean: 128.47 		Best: 895.02 		N:7

########## REPORT GEN: 23 ##########
SPECIES: 
Kotterna       		Mean: 75.56 		Best: 931.77 		N:12
Lee            		Mean: 100.93 		Best: 928.2 		N:9
Berry          		Mean: 129.21 		Best: 927.74 		N:7
Nance          		Mean: 82.51 		Best: 927.35 		N:11
Tuggle         		Mean: 100.21 		Best: 920.71 		N:9
