########## REPORT GEN: 2 ##########
SPECIES: 
Burnham        		Mean: 190.08 		Best: 944.33 		N:5
Elson          		Mean: 475.32 		Best: 944.31 		N:2
Guerrero       		Mean: 314.91 		Best: 941.36 		N:3
Brown          		Mean: 471.38 		Best: 928.33 		N:2
Chavis         		Mean: 187.76 		Best: 927.65 		N:5
House          		Mean: 233.4 		Best: 923.74 		N:4
Bradley        		Mean: 313.31 		Best: 923.54 		N:3
Hao            		Mean: 157.35 		Best: 924.92 		N:6
Oneal          		Mean: 311.73 		Best: 923.54 		N:3

########## REPORT GEN: 18 ##########
SPECIES: 
Burnham        		Mean: 236.89 		Best: 952.76 		N:4
Wright         		Mean: 156.54 		Best: 952.7 		N:6
Elson          		Mean: 157.0 		Best: 945.92 		N:6
Guerrero       		Mean: 159.29 		Best: 952.7 		N:6
Brown          		Mean: 105.0 		Best: 945.92 		N:9
House          		Mean: 238.15 		Best: 945.92 		N:4
Oneal          		Mean: 190.45 		Best: 945.92 		N:5
Hao            		Mean: 188.36 		Best: 944.33 		N:5
Demond         		Mean: 233.99 		Best: 944.31 		N:4
Sullivan       		Mean: 320.23 		Best: 944.33 		N:3
Bradley        		Mean: 118.3 		Best: 944.31 		N:8
Bruner         		Mean: 234.97 		Best: 932.12 		N:4
Lastrapes      		Mean: 156.73 		Best: 927.65 		N:6
Reid           		Mean: 235.09 		Best: 923.55 		N:4
Chavis         		Mean: 309.93 		Best: 923.29 		N:3

########## REPORT GEN: 19 ##########
SPECIES: 
Demond         		Mean: 190.3 		Best: 952.76 		N:5
Chavis         		Mean: 319.92 		Best: 952.76 		N:3
Deloy          		Mean: 136.78 		Best: 952.7 		N:7
Hao            		Mean: 103.75 		Best: 950.47 		N:9
Oneal          		Mean: 236.43 		Best: 945.92 		N:4
Sullivan       		Mean: 94.73 		Best: 945.92 		N:10
House          		Mean: 316.29 		Best: 944.33 		N:3
Burnham        		Mean: 105.14 		Best: 945.92 		N:9
Bruner         		Mean: 316.52 		Best: 944.31 		N:3
Reid           		Mean: 104.36 		Best: 927.65 		N:9
Wright         		Mean: 465.61 		Best: 923.74 		N:2
Bradley        		Mean: 156.79 		Best: 923.62 		N:6
Elson          		Mean: 232.59 		Best: 923.74 		N:4

########## REPORT GEN: 20 ##########
SPECIES: 
Demond         		Mean: 135.98 		Best: 952.76 		N:7
Chavis         		Mean: 119.47 		Best: 952.76 		N:8
Oneal          		Mean: 316.35 		Best: 952.76 		N:3
Sullivan       		Mean: 317.65 		Best: 952.76 		N:3
Deloy          		Mean: 134.18 		Best: 952.7 		N:7
Guerrero       		Mean: 158.63 		Best: 945.92 		N:6
Elson          		Mean: 236.79 		Best: 945.92 		N:4
Hao            		Mean: 157.65 		Best: 945.92 		N:6
Burnham        		Mean: 118.22 		Best: 944.33 		N:8
Bradley        		Mean: 188.41 		Best: 944.33 		N:5
Bruner         		Mean: 467.59 		Best: 928.13 		N:2
House          		Mean: 236.07 		Best: 924.41 		N:4
Wright         		Mean: 467.7 		Best: 923.74 		N:2
Reid           		Mean: 233.53 		Best: 923.74 		N:4

########## REPORT GEN: 21 ##########
SPECIES: 
Sullivan       		Mean: 158.57 		Best: 952.76 		N:6
Hao            		Mean: 190.14 		Best: 952.76 		N:5
Reid           		Mean: 86.24 		Best: 952.76 		N:11
Oneal          		Mean: 158.74 		Best: 952.6 		N:6
House          		Mean: 189.2 		Best: 945.92 		N:5
Deloy          		Mean: 159.11 		Best: 944.33 		N:6
Guerrero       		Mean: 310.33 		Best: 927.65 		N:3
Bruner         		Mean: 233.39 		Best: 923.75 		N:4
Burnham        		Mean: 186.34 		Best: 923.74 		N:5
Chavis         		Mean: 156.09 		Best: 923.74 		N:6
Elson          		Mean: 78.32 		Best: 923.74 		N:12
Demond         		Mean: 464.62 		Best: 923.29 		N:2
Bradley        		Mean: 314.9 		Best: 927.33 		N:3

########## REPORT GEN: 22 ##########
SPECIES: 
Reid           		Mean: 106.5 		Best: 952.76 		N:9
Oneal          		Mean: 239.97 		Best: 952.76 		N:4
House          		Mean: 189.8 		Best: 952.76 		N:5
Demond         		Mean: 237.66 		Best: 952.6 		N:4
Deloy          		Mean: 136.74 		Best: 945.92 		N:7
Sullivan       		Mean: 188.34 		Best: 945.18 		N:5
Elson          		Mean: 233.95 		Best: 928.13 		N:4
Burnham        		Mean: 152.61 		Best: 927.65 		N:6
Bruner         		Mean: 133.05 		Best: 923.74 		N:7
Wright         		Mean: 133.85 		Best: 923.77 		N:7
Bradley        		Mean: 187.29 		Best: 923.74 		N:5
Chavis         		Mean: 308.68 		Best: 923.72 		N:3
Hao            		Mean: 450.59 		Best: 900.06 		N:2
Guerrero       		Mean: 451.29 		Best: 900.06 		N:2

########## REPORT GEN: 23 ##########
SPECIES: 
House          		Mean: 137.01 		Best: 952.76 		N:7
Oneal          		Mean: 135.36 		Best: 952.6 		N:7
Sullivan       		Mean: 117.95 		Best: 952.76 		N:8
Hao            		Mean: 104.41 		Best: 945.92 		N:9
Elson          		Mean: 156.03 		Best: 928.13 		N:6
Guerrero       		Mean: 312.82 		Best: 927.65 		N:3
Bruner         		Mean: 156.16 		Best: 923.74 		N:6
Wright         		Mean: 133.13 		Best: 923.74 		N:7
Bradley        		Mean: 467.47 		Best: 923.74 		N:2
Chavis         		Mean: 232.75 		Best: 923.74 		N:4
Reid           		Mean: 156.43 		Best: 923.69 		N:6
Demond         		Mean: 186.98 		Best: 923.29 		N:5
Deloy          		Mean: 452.35 		Best: 900.06 		N:2
Burnham        		Mean: 451.31 		Best: 900.06 		N:2

########## REPORT GEN: 24 ##########
SPECIES: 
Sullivan       		Mean: 67.99 		Best: 952.76 		N:14
Bruner         		Mean: 79.26 		Best: 950.47 		N:12
Oneal          		Mean: 157.3 		Best: 945.18 		N:6
Reid           		Mean: 235.86 		Best: 945.18 		N:4
Wright         		Mean: 155.85 		Best: 928.13 		N:6
Chavis         		Mean: 308.89 		Best: 923.74 		N:3
Bradley        		Mean: 306.41 		Best: 923.49 		N:3
House          		Mean: 311.41 		Best: 923.29 		N:3
Hao            		Mean: 150.79 		Best: 900.06 		N:6
Deloy          		Mean: 301.3 		Best: 900.06 		N:3
Burnham        		Mean: 180.69 		Best: 900.06 		N:5

########## REPORT GEN: 25 ##########
SPECIES: 
Reid           		Mean: 118.08 		Best: 952.76 		N:8
Sullivan       		Mean: 117.83 		Best: 950.47 		N:8
Bradley        		Mean: 317.06 		Best: 945.18 		N:3
Hao            		Mean: 184.54 		Best: 945.18 		N:5
Deloy          		Mean: 231.54 		Best: 945.18 		N:4
Oneal          		Mean: 312.54 		Best: 928.2 		N:3
Chavis         		Mean: 133.08 		Best: 928.13 		N:7
Wright         		Mean: 186.07 		Best: 923.51 		N:5
Guerrero       		Mean: 462.44 		Best: 923.28 		N:2
Bruner         		Mean: 103.55 		Best: 923.28 		N:9
Demond         		Mean: 301.31 		Best: 900.06 		N:3
Burnham        		Mean: 301.44 		Best: 900.06 		N:3

########## REPORT GEN: 26 ##########
SPECIES: 
House          		Mean: 241.66 		Best: 952.76 		N:4
Guerrero       		Mean: 190.46 		Best: 950.47 		N:5
Bradley        		Mean: 118.21 		Best: 945.18 		N:8
Hao            		Mean: 132.6 		Best: 945.18 		N:7
Elson          		Mean: 235.41 		Best: 928.2 		N:4
Oneal          		Mean: 186.98 		Best: 928.13 		N:5
Wright         		Mean: 155.38 		Best: 923.74 		N:6
Reid           		Mean: 229.88 		Best: 923.49 		N:4
Demond         		Mean: 464.88 		Best: 923.49 		N:2
Chavis         		Mean: 233.33 		Best: 923.74 		N:4
