########## REPORT GEN: 2 ##########
SPECIES: 
Nelson         		Mean: 183.74 		Best: 909.33 		N:5
Casper         		Mean: 183.36 		Best: 906.61 		N:5
Bailey         		Mean: 229.44 		Best: 906.29 		N:4
Cho            		Mean: 115.02 		Best: 905.99 		N:8
Preslipsky     		Mean: 130.35 		Best: 905.99 		N:7
Blanchard      		Mean: 130.92 		Best: 905.99 		N:7
Taylor         		Mean: 306.07 		Best: 905.25 		N:3
Lantrip        		Mean: 129.74 		Best: 901.83 		N:7
Cooke          		Mean: 226.15 		Best: 901.3 		N:4
Mercer         		Mean: 305.0 		Best: 901.83 		N:3

########## REPORT GEN: 18 ##########
SPECIES: 
Blanchard      		Mean: 184.29 		Best: 909.49 		N:5
Mercer         		Mean: 183.28 		Best: 909.33 		N:5
Casper         		Mean: 182.65 		Best: 906.61 		N:5
Juel           		Mean: 131.02 		Best: 906.61 		N:7
Cureton        		Mean: 304.02 		Best: 905.99 		N:3
Bailey         		Mean: 101.61 		Best: 905.99 		N:9
Lantrip        		Mean: 182.6 		Best: 905.99 		N:5
Preslipsky     		Mean: 453.03 		Best: 901.83 		N:2
Dubard         		Mean: 152.11 		Best: 901.83 		N:6
Cooke          		Mean: 182.89 		Best: 901.32 		N:5
Cho            		Mean: 130.49 		Best: 901.83 		N:7
Taylor         		Mean: 450.51 		Best: 901.18 		N:2
Nelson         		Mean: 228.13 		Best: 901.22 		N:4

########## REPORT GEN: 19 ##########
SPECIES: 
Lantrip        		Mean: 183.26 		Best: 909.49 		N:5
Cho            		Mean: 183.23 		Best: 909.49 		N:5
Mercer         		Mean: 152.66 		Best: 906.61 		N:6
Taylor         		Mean: 152.4 		Best: 906.61 		N:6
Bailey         		Mean: 152.6 		Best: 905.99 		N:6
Preslipsky     		Mean: 183.43 		Best: 905.99 		N:5
Nelson         		Mean: 130.52 		Best: 904.57 		N:7
Dubard         		Mean: 227.26 		Best: 901.83 		N:4
Juel           		Mean: 455.55 		Best: 901.25 		N:2
Cooke          		Mean: 227.55 		Best: 901.25 		N:4
Casper         		Mean: 130.34 		Best: 901.83 		N:7
Blanchard      		Mean: 228.04 		Best: 901.22 		N:4
Cureton        		Mean: 129.38 		Best: 901.3 		N:7

########## REPORT GEN: 20 ##########
SPECIES: 
Lantrip        		Mean: 83.37 		Best: 909.49 		N:11
Dubard         		Mean: 131.05 		Best: 909.49 		N:7
Blanchard      		Mean: 130.74 		Best: 909.49 		N:7
Juel           		Mean: 114.38 		Best: 904.57 		N:8
Casper         		Mean: 228.41 		Best: 903.38 		N:4
Nelson         		Mean: 181.56 		Best: 901.83 		N:5
Preslipsky     		Mean: 113.65 		Best: 901.25 		N:8
Cooke          		Mean: 151.66 		Best: 901.23 		N:6
Cho            		Mean: 226.74 		Best: 901.3 		N:4
Mercer         		Mean: 113.26 		Best: 901.18 		N:8
Bailey         		Mean: 151.98 		Best: 901.22 		N:6
Taylor         		Mean: 181.16 		Best: 901.08 		N:5
Cureton        		Mean: 228.28 		Best: 901.23 		N:4

########## REPORT GEN: 21 ##########
SPECIES: 
Taylor         		Mean: 75.99 		Best: 913.41 		N:12
Lantrip        		Mean: 152.99 		Best: 909.49 		N:6
Cooke          		Mean: 130.67 		Best: 909.49 		N:7
Bailey         		Mean: 101.23 		Best: 909.49 		N:9
Mercer         		Mean: 130.07 		Best: 903.38 		N:7
Cureton        		Mean: 182.33 		Best: 901.24 		N:5
Preslipsky     		Mean: 101.3 		Best: 901.23 		N:9
Cho            		Mean: 182.39 		Best: 901.23 		N:5
Dubard         		Mean: 151.37 		Best: 901.14 		N:6
Nelson         		Mean: 114.12 		Best: 901.83 		N:8
Casper         		Mean: 151.56 		Best: 901.05 		N:6
Juel           		Mean: 182.29 		Best: 901.25 		N:5

########## REPORT GEN: 22 ##########
SPECIES: 
Casper         		Mean: 305.09 		Best: 913.41 		N:3
Cooke          		Mean: 228.18 		Best: 909.49 		N:4
Bailey         		Mean: 303.23 		Best: 909.49 		N:3
Cho            		Mean: 182.03 		Best: 901.3 		N:5
Taylor         		Mean: 82.54 		Best: 901.24 		N:11
Dubard         		Mean: 152.36 		Best: 901.23 		N:6
Cureton        		Mean: 301.88 		Best: 901.15 		N:3
Blanchard      		Mean: 113.64 		Best: 901.14 		N:8
Lantrip        		Mean: 100.94 		Best: 901.18 		N:9
Juel           		Mean: 454.99 		Best: 901.05 		N:2
Nelson         		Mean: 227.65 		Best: 901.23 		N:4
Preslipsky     		Mean: 451.72 		Best: 900.84 		N:2
Mercer         		Mean: 151.09 		Best: 900.85 		N:6

########## REPORT GEN: 23 ##########
SPECIES: 
Casper         		Mean: 114.06 		Best: 913.41 		N:8
Blanchard      		Mean: 152.72 		Best: 913.41 		N:6
Dubard         		Mean: 304.5 		Best: 909.49 		N:3
Nelson         		Mean: 228.32 		Best: 909.49 		N:4
Mercer         		Mean: 130.36 		Best: 909.49 		N:7
Cooke          		Mean: 304.81 		Best: 906.8 		N:3
Taylor         		Mean: 130.29 		Best: 906.61 		N:7
Cureton        		Mean: 90.95 		Best: 903.38 		N:10
Juel           		Mean: 101.38 		Best: 902.86 		N:9
Lantrip        		Mean: 451.19 		Best: 900.84 		N:2
Cho            		Mean: 180.78 		Best: 900.85 		N:5
Bailey         		Mean: 302.51 		Best: 900.83 		N:3

########## REPORT GEN: 24 ##########
SPECIES: 
Cureton        		Mean: 229.41 		Best: 913.41 		N:4
Bailey         		Mean: 130.35 		Best: 913.41 		N:7
Mercer         		Mean: 151.81 		Best: 909.49 		N:6
Cooke          		Mean: 183.07 		Best: 909.49 		N:5
Blanchard      		Mean: 228.14 		Best: 906.8 		N:4
Lantrip        		Mean: 151.99 		Best: 903.38 		N:6
Dubard         		Mean: 227.82 		Best: 902.86 		N:4
Taylor         		Mean: 151.39 		Best: 901.3 		N:6
Cho            		Mean: 151.79 		Best: 901.27 		N:6
Juel           		Mean: 303.49 		Best: 901.24 		N:3
Nelson         		Mean: 450.93 		Best: 900.84 		N:2
Casper         		Mean: 302.75 		Best: 900.83 		N:3
Preslipsky     		Mean: 301.88 		Best: 900.78 		N:3

########## REPORT GEN: 25 ##########
SPECIES: 
Blanchard      		Mean: 83.02 		Best: 913.41 		N:11
Dubard         		Mean: 228.03 		Best: 913.41 		N:4
Cho            		Mean: 304.2 		Best: 909.49 		N:3
Nelson         		Mean: 183.35 		Best: 909.49 		N:5
Lantrip        		Mean: 114.17 		Best: 907.0 		N:8
Cureton        		Mean: 228.21 		Best: 906.8 		N:4
Casper         		Mean: 455.92 		Best: 906.8 		N:2
Taylor         		Mean: 130.18 		Best: 901.3 		N:7
Preslipsky     		Mean: 301.47 		Best: 900.82 		N:3
Bailey         		Mean: 82.44 		Best: 900.91 		N:11
Juel           		Mean: 113.34 		Best: 900.86 		N:8
Mercer         		Mean: 129.57 		Best: 900.84 		N:7

########## REPORT GEN: 26 ##########
SPECIES: 
Cho            		Mean: 228.09 		Best: 913.41 		N:4
Taylor         		Mean: 457.49 		Best: 913.41 		N:2
Bailey         		Mean: 130.68 		Best: 913.41 		N:7
Nelson         		Mean: 130.36 		Best: 909.49 		N:7
Casper         		Mean: 101.19 		Best: 909.49 		N:9
Preslipsky     		Mean: 228.84 		Best: 909.49 		N:4
Juel           		Mean: 130.48 		Best: 909.49 		N:7
Dubard         		Mean: 151.47 		Best: 907.0 		N:6
Lantrip        		Mean: 182.4 		Best: 906.8 		N:5
Mercer         		Mean: 130.36 		Best: 904.02 		N:7
Cureton        		Mean: 113.62 		Best: 902.23 		N:8
Blanchard      		Mean: 451.54 		Best: 900.84 		N:2

########## REPORT GEN: 27 ##########
SPECIES: 
Bailey         		Mean: 114.48 		Best: 913.41 		N:8
Casper         		Mean: 182.64 		Best: 913.41 		N:5
Preslipsky     		Mean: 130.07 		Best: 913.41 		N:7
Dubard         		Mean: 113.94 		Best: 909.49 		N:8
Lantrip        		Mean: 114.11 		Best: 909.49 		N:8
Cureton        		Mean: 151.7 		Best: 909.49 		N:6
Juel           		Mean: 130.49 		Best: 907.0 		N:7
Mercer         		Mean: 228.06 		Best: 906.8 		N:4
Cho            		Mean: 303.56 		Best: 901.05 		N:3
Blanchard      		Mean: 301.41 		Best: 900.77 		N:3
Nelson         		Mean: 302.23 		Best: 900.76 		N:3
Taylor         		Mean: 226.38 		Best: 900.84 		N:4

########## REPORT GEN: 28 ##########
SPECIES: 
Preslipsky     		Mean: 83.25 		Best: 913.41 		N:11
Lantrip        		Mean: 130.34 		Best: 913.41 		N:7
Cho            		Mean: 113.62 		Best: 913.41 		N:8
Nelson         		Mean: 152.1 		Best: 909.49 		N:6
Mercer         		Mean: 182.34 		Best: 906.8 		N:5
Casper         		Mean: 69.76 		Best: 901.05 		N:13
Cureton        		Mean: 225.68 		Best: 900.84 		N:4
Blanchard      		Mean: 302.72 		Best: 900.83 		N:3
Bailey         		Mean: 302.06 		Best: 900.78 		N:3
Dubard         		Mean: 301.35 		Best: 900.67 		N:3
Juel           		Mean: 226.7 		Best: 900.86 		N:4
Taylor         		Mean: 226.37 		Best: 900.58 		N:4

########## REPORT GEN: 29 ##########
SPECIES: 
Cho            		Mean: 152.41 		Best: 913.41 		N:6
Nelson         		Mean: 114.17 		Best: 913.41 		N:8
Mercer         		Mean: 113.89 		Best: 913.41 		N:8
Cureton        		Mean: 91.18 		Best: 911.1 		N:10
Dubard         		Mean: 113.74 		Best: 909.49 		N:8
Casper         		Mean: 456.36 		Best: 906.8 		N:2
Juel           		Mean: 129.85 		Best: 901.05 		N:7
Lantrip        		Mean: 301.24 		Best: 900.86 		N:3
Bailey         		Mean: 151.27 		Best: 900.76 		N:6
Taylor         		Mean: 180.73 		Best: 900.6 		N:5
Preslipsky     		Mean: 181.41 		Best: 900.86 		N:5
Blanchard      		Mean: 100.79 		Best: 900.86 		N:9

########## REPORT GEN: 30 ##########
SPECIES: 
Bailey         		Mean: 152.35 		Best: 913.41 		N:6
Preslipsky     		Mean: 229.27 		Best: 913.41 		N:4
Nelson         		Mean: 227.56 		Best: 909.49 		N:4
Juel           		Mean: 182.3 		Best: 908.04 		N:5
Blanchard      		Mean: 113.34 		Best: 906.8 		N:8
Taylor         		Mean: 129.98 		Best: 901.05 		N:7
Mercer         		Mean: 90.5 		Best: 900.86 		N:10
Cureton        		Mean: 100.83 		Best: 900.86 		N:9
Dubard         		Mean: 226.77 		Best: 900.78 		N:4
Lantrip        		Mean: 151.38 		Best: 900.86 		N:6
Cho            		Mean: 225.88 		Best: 900.59 		N:4
Casper         		Mean: 226.57 		Best: 900.61 		N:4

########## REPORT GEN: 31 ##########
SPECIES: 
Juel           		Mean: 82.9 		Best: 913.41 		N:11
Taylor         		Mean: 91.18 		Best: 913.41 		N:10
Cureton        		Mean: 152.11 		Best: 909.49 		N:6
Preslipsky     		Mean: 114.0 		Best: 908.78 		N:8
Mercer         		Mean: 129.96 		Best: 908.04 		N:7
Bailey         		Mean: 151.59 		Best: 906.8 		N:6
Dubard         		Mean: 227.07 		Best: 903.78 		N:4
Blanchard      		Mean: 100.81 		Best: 900.78 		N:9
Cho            		Mean: 82.4 		Best: 903.78 		N:11
Nelson         		Mean: 180.94 		Best: 900.77 		N:5
Casper         		Mean: 150.79 		Best: 900.59 		N:6

########## REPORT GEN: 32 ##########
SPECIES: 
Juel           		Mean: 130.71 		Best: 913.41 		N:7
Cho            		Mean: 151.88 		Best: 909.49 		N:6
Preslipsky     		Mean: 181.71 		Best: 908.78 		N:5
Blanchard      		Mean: 456.55 		Best: 908.04 		N:2
Dubard         		Mean: 182.45 		Best: 906.8 		N:5
Bailey         		Mean: 113.73 		Best: 901.05 		N:8
Taylor         		Mean: 180.89 		Best: 900.83 		N:5
Cureton        		Mean: 151.01 		Best: 900.75 		N:6
Mercer         		Mean: 129.56 		Best: 900.61 		N:7
Lantrip        		Mean: 226.58 		Best: 900.59 		N:4
Casper         		Mean: 180.56 		Best: 900.58 		N:5
Nelson         		Mean: 226.59 		Best: 900.65 		N:4

########## REPORT GEN: 33 ##########
SPECIES: 
Blanchard      		Mean: 114.18 		Best: 913.41 		N:8
Mercer         		Mean: 227.91 		Best: 909.49 		N:4
Taylor         		Mean: 303.88 		Best: 908.78 		N:3
Lantrip        		Mean: 130.0 		Best: 906.8 		N:7
Nelson         		Mean: 226.96 		Best: 901.05 		N:4
Bailey         		Mean: 452.62 		Best: 900.83 		N:2
Cureton        		Mean: 90.8 		Best: 900.78 		N:10
Preslipsky     		Mean: 181.39 		Best: 900.75 		N:5
Casper         		Mean: 226.7 		Best: 900.59 		N:4
Cho            		Mean: 113.36 		Best: 900.58 		N:8
Juel           		Mean: 129.41 		Best: 900.6 		N:7
Dubard         		Mean: 75.61 		Best: 900.64 		N:12

########## REPORT GEN: 34 ##########
SPECIES: 
Mercer         		Mean: 91.3 		Best: 913.41 		N:10
Bailey         		Mean: 182.17 		Best: 913.41 		N:5
Lantrip        		Mean: 151.8 		Best: 909.49 		N:6
Nelson         		Mean: 182.12 		Best: 908.78 		N:5
Blanchard      		Mean: 90.77 		Best: 901.05 		N:10
Cureton        		Mean: 151.21 		Best: 900.83 		N:6
Juel           		Mean: 150.96 		Best: 900.62 		N:6
Casper         		Mean: 181.36 		Best: 900.58 		N:5
Taylor         		Mean: 150.75 		Best: 900.53 		N:6
Cho            		Mean: 181.27 		Best: 900.58 		N:5
Preslipsky     		Mean: 226.58 		Best: 900.58 		N:4
Dubard         		Mean: 181.36 		Best: 900.58 		N:5

########## REPORT GEN: 35 ##########
SPECIES: 
Cureton        		Mean: 458.49 		Best: 917.41 		N:2
Blanchard      		Mean: 100.88 		Best: 914.68 		N:9
Bailey         		Mean: 130.01 		Best: 913.41 		N:7
Lantrip        		Mean: 113.89 		Best: 913.41 		N:8
Casper         		Mean: 151.87 		Best: 913.41 		N:6
Cho            		Mean: 101.32 		Best: 913.41 		N:9
Juel           		Mean: 181.83 		Best: 909.49 		N:5
Mercer         		Mean: 100.93 		Best: 901.05 		N:9
Dubard         		Mean: 129.33 		Best: 900.83 		N:7
Preslipsky     		Mean: 100.76 		Best: 900.58 		N:9
Nelson         		Mean: 82.22 		Best: 900.58 		N:11
Taylor         		Mean: 100.55 		Best: 900.58 		N:9

########## REPORT GEN: 36 ##########
SPECIES: 
Dubard         		Mean: 227.73 		Best: 917.41 		N:4
Preslipsky     		Mean: 229.04 		Best: 917.41 		N:4
Blanchard      		Mean: 82.58 		Best: 913.41 		N:11
Lantrip        		Mean: 457.35 		Best: 913.41 		N:2
