########## REPORT GEN: 2 ##########
SPECIES: 
Alvarez        		Mean: 89.09 		Best: 530.44 		N:6
Warner         		Mean: 118.9 		Best: 477.88 		N:4
Kitchel        		Mean: 93.69 		Best: 477.47 		N:5
Walker         		Mean: 156.18 		Best: 477.47 		N:3
Cole           		Mean: 114.6 		Best: 456.32 		N:4
Evans          		Mean: 77.3 		Best: 456.32 		N:6
Turner         		Mean: 147.87 		Best: 443.07 		N:3
Negron         		Mean: 89.08 		Best: 442.47 		N:5
Cruz           		Mean: 74.21 		Best: 442.47 		N:6

########## REPORT GEN: 30 ##########
SPECIES: 
Flores         		Mean: 89.91 		Best: 669.17 		N:7
Jobst          		Mean: 109.29 		Best: 659.88 		N:6
Longie         		Mean: 63.2 		Best: 654.11 		N:8
Walker         		Mean: 66.86 		Best: 654.11 		N:8
Grigsby        		Mean: 104.64 		Best: 653.98 		N:5
Alvarez        		Mean: 111.26 		Best: 632.01 		N:5
Williams       		Mean: 95.81 		Best: 561.98 		N:5
