########## REPORT GEN: 2 ##########
SPECIES: 
Alfaro         		Mean: 56.36 		Best: 907.37 		N:16
Cloutier       		Mean: 75.0 		Best: 905.1 		N:12
Rodriguez      		Mean: 69.53 		Best: 906.87 		N:13
Wininger       		Mean: 112.65 		Best: 905.1 		N:8

########## REPORT GEN: 21 ##########
SPECIES: 
Griffin        		Mean: 100.51 		Best: 917.1 		N:9
Wininger       		Mean: 82.0 		Best: 917.1 		N:11
Shaw           		Mean: 69.43 		Best: 913.03 		N:13
Doyle          		Mean: 129.0 		Best: 907.6 		N:7
Hill           		Mean: 111.41 		Best: 907.37 		N:8
Rodriguez      		Mean: 82.12 		Best: 906.91 		N:11
Alfaro         		Mean: 81.68 		Best: 907.64 		N:11
Labrum         		Mean: 89.62 		Best: 906.33 		N:10
Stahlberg      		Mean: 82.23 		Best: 907.2 		N:11
Spence         		Mean: 112.01 		Best: 907.17 		N:8
Curb           		Mean: 89.84 		Best: 907.2 		N:10
Cloutier       		Mean: 64.38 		Best: 905.74 		N:14

########## REPORT GEN: 22 ##########
SPECIES: 
Hill           		Mean: 91.04 		Best: 917.1 		N:10
Stahlberg      		Mean: 100.44 		Best: 917.1 		N:9
Cloutier       		Mean: 69.01 		Best: 917.1 		N:13
Wininger       		Mean: 112.45 		Best: 913.03 		N:8
Shaw           		Mean: 69.17 		Best: 907.6 		N:13
Alfaro         		Mean: 69.53 		Best: 906.91 		N:13
Spence         		Mean: 81.99 		Best: 906.91 		N:11
Doyle          		Mean: 49.72 		Best: 906.64 		N:18
Griffin        		Mean: 82.08 		Best: 906.64 		N:11
Rodriguez      		Mean: 89.55 		Best: 906.64 		N:10
Curb           		Mean: 68.79 		Best: 906.64 		N:13
Labrum         		Mean: 64.23 		Best: 906.64 		N:14

########## REPORT GEN: 23 ##########
SPECIES: 
Cloutier       		Mean: 82.17 		Best: 931.52 		N:11
Rodriguez      		Mean: 100.08 		Best: 918.82 		N:9
Hill           		Mean: 50.48 		Best: 917.1 		N:18
Alfaro         		Mean: 40.97 		Best: 917.1 		N:22
Spence         		Mean: 129.09 		Best: 917.1 		N:7
Curb           		Mean: 112.43 		Best: 917.1 		N:8
Griffin        		Mean: 89.7 		Best: 908.21 		N:10
Wininger       		Mean: 69.03 		Best: 906.91 		N:13
Shaw           		Mean: 56.31 		Best: 907.17 		N:16
Doyle          		Mean: 89.8 		Best: 906.75 		N:10
Labrum         		Mean: 88.97 		Best: 901.95 		N:10
Stahlberg      		Mean: 89.69 		Best: 906.64 		N:10

########## REPORT GEN: 24 ##########
SPECIES: 
Cloutier       		Mean: 64.21 		Best: 931.52 		N:14
Curb           		Mean: 59.99 		Best: 931.52 		N:15
Rodriguez      		Mean: 56.19 		Best: 918.82 		N:16
Hill           		Mean: 89.28 		Best: 917.1 		N:10
Wininger       		Mean: 56.49 		Best: 917.1 		N:16
Doyle          		Mean: 64.2 		Best: 917.1 		N:14
Alfaro         		Mean: 99.61 		Best: 907.17 		N:9
Stahlberg      		Mean: 55.74 		Best: 906.91 		N:16
Shaw           		Mean: 127.43 		Best: 906.82 		N:7
Spence         		Mean: 75.44 		Best: 907.79 		N:12
Labrum         		Mean: 100.0 		Best: 905.1 		N:9
Griffin        		Mean: 89.27 		Best: 908.21 		N:10

########## REPORT GEN: 25 ##########
SPECIES: 
Rodriguez      		Mean: 74.75 		Best: 931.52 		N:12
Labrum         		Mean: 64.17 		Best: 931.52 		N:14
Griffin        		Mean: 64.2 		Best: 931.52 		N:14
Alfaro         		Mean: 99.13 		Best: 918.82 		N:9
Hill           		Mean: 69.31 		Best: 917.1 		N:13
Shaw           		Mean: 81.76 		Best: 917.1 		N:11
Doyle          		Mean: 56.35 		Best: 910.15 		N:16
Wininger       		Mean: 88.96 		Best: 903.33 		N:10
