########## REPORT GEN: 2 ##########
SPECIES: 
Dunaway        		Mean: 228.46 		Best: 902.53 		N:4
Myers          		Mean: 302.28 		Best: 901.64 		N:3
Robinson       		Mean: 229.31 		Best: 901.64 		N:4
Swiger         		Mean: 227.95 		Best: 901.64 		N:4
Schaffner      		Mean: 151.94 		Best: 901.72 		N:6
Goto           		Mean: 152.72 		Best: 902.77 		N:6
Horton         		Mean: 450.25 		Best: 900.51 		N:2

########## REPORT GEN: 16 ##########
SPECIES: 
Robinson       		Mean: 305.39 		Best: 928.41 		N:3
Frazier        		Mean: 91.55 		Best: 924.3 		N:10
Labossiere     		Mean: 152.76 		Best: 924.3 		N:6
Curl           		Mean: 154.79 		Best: 924.3 		N:6
Swiger         		Mean: 101.92 		Best: 924.3 		N:9
Goto           		Mean: 304.84 		Best: 924.3 		N:3
Shanklin       		Mean: 153.08 		Best: 914.19 		N:6
Daughtry       		Mean: 229.36 		Best: 907.82 		N:4
Schaffner      		Mean: 304.63 		Best: 907.82 		N:3
Dunaway        		Mean: 303.79 		Best: 902.53 		N:3
Horton         		Mean: 113.87 		Best: 901.64 		N:8
Bartsch        		Mean: 303.98 		Best: 900.67 		N:3
Moody          		Mean: 451.22 		Best: 900.51 		N:2
Myers          		Mean: 181.68 		Best: 901.64 		N:5

########## REPORT GEN: 17 ##########
SPECIES: 
Goto           		Mean: 185.16 		Best: 928.41 		N:5
Curl           		Mean: 115.37 		Best: 924.3 		N:8
Shanklin       		Mean: 228.67 		Best: 924.3 		N:4
Daughtry       		Mean: 152.26 		Best: 924.3 		N:6
Bartsch        		Mean: 114.59 		Best: 924.3 		N:8
Myers          		Mean: 114.13 		Best: 924.3 		N:8
Labossiere     		Mean: 130.15 		Best: 902.77 		N:7
Swiger         		Mean: 151.91 		Best: 902.77 		N:6
Schaffner      		Mean: 303.26 		Best: 902.53 		N:3
Horton         		Mean: 453.44 		Best: 901.64 		N:2
Moody          		Mean: 181.48 		Best: 900.92 		N:5
Frazier        		Mean: 152.23 		Best: 901.64 		N:6
Robinson       		Mean: 451.2 		Best: 900.51 		N:2

########## REPORT GEN: 18 ##########
SPECIES: 
Moody          		Mean: 152.74 		Best: 928.41 		N:6
Goto           		Mean: 151.96 		Best: 924.3 		N:6
Curl           		Mean: 182.67 		Best: 924.3 		N:5
Shanklin       		Mean: 229.88 		Best: 924.3 		N:4
Swiger         		Mean: 182.46 		Best: 924.3 		N:5
Frazier        		Mean: 183.02 		Best: 924.3 		N:5
Robinson       		Mean: 130.4 		Best: 924.3 		N:7
Dunaway        		Mean: 228.8 		Best: 911.27 		N:4
Schaffner      		Mean: 227.91 		Best: 902.77 		N:4
Horton         		Mean: 151.75 		Best: 901.64 		N:6
Labossiere     		Mean: 450.25 		Best: 900.51 		N:2
Myers          		Mean: 227.0 		Best: 900.51 		N:4

########## REPORT GEN: 19 ##########
SPECIES: 
Bartsch        		Mean: 183.57 		Best: 927.0 		N:5
Shanklin       		Mean: 305.08 		Best: 924.3 		N:3
Robinson       		Mean: 457.65 		Best: 924.3 		N:2
Dunaway        		Mean: 184.03 		Best: 924.3 		N:5
Schaffner      		Mean: 305.31 		Best: 924.3 		N:3
Horton         		Mean: 459.6 		Best: 924.3 		N:2
Labossiere     		Mean: 304.49 		Best: 924.3 		N:3
Daughtry       		Mean: 91.22 		Best: 907.82 		N:10
Frazier        		Mean: 227.6 		Best: 900.71 		N:4
Curl           		Mean: 180.51 		Best: 900.53 		N:5
Moody          		Mean: 302.55 		Best: 900.51 		N:3
Swiger         		Mean: 181.32 		Best: 900.92 		N:5

########## REPORT GEN: 20 ##########
SPECIES: 
Myers          		Mean: 153.09 		Best: 928.41 		N:6
Schaffner      		Mean: 183.34 		Best: 928.41 		N:5
Goto           		Mean: 468.52 		Best: 928.41 		N:2
Robinson       		Mean: 182.89 		Best: 924.3 		N:5
Dunaway        		Mean: 183.55 		Best: 924.3 		N:5
Horton         		Mean: 153.28 		Best: 924.3 		N:6
Daughtry       		Mean: 230.17 		Best: 924.3 		N:4
Frazier        		Mean: 228.3 		Best: 924.3 		N:4
Curl           		Mean: 229.28 		Best: 924.3 		N:4
Moody          		Mean: 227.9 		Best: 924.3 		N:4
Labossiere     		Mean: 456.51 		Best: 907.82 		N:2
Shanklin       		Mean: 226.87 		Best: 900.95 		N:4
Swiger         		Mean: 226.0 		Best: 900.92 		N:4
Bartsch        		Mean: 182.36 		Best: 900.71 		N:5

########## REPORT GEN: 21 ##########
SPECIES: 
Myers          		Mean: 153.06 		Best: 928.41 		N:6
Frazier        		Mean: 114.65 		Best: 928.41 		N:8
Curl           		Mean: 228.44 		Best: 928.41 		N:4
Daughtry       		Mean: 184.03 		Best: 927.0 		N:5
Goto           		Mean: 229.86 		Best: 924.3 		N:4
Robinson       		Mean: 130.48 		Best: 924.3 		N:7
Moody          		Mean: 306.16 		Best: 924.3 		N:3
Shanklin       		Mean: 131.97 		Best: 924.3 		N:7
Swiger         		Mean: 459.13 		Best: 924.3 		N:2
Bartsch        		Mean: 130.68 		Best: 924.3 		N:7
Schaffner      		Mean: 151.92 		Best: 910.64 		N:6
Labossiere     		Mean: 152.08 		Best: 907.82 		N:6
Dunaway        		Mean: 150.99 		Best: 900.51 		N:6

########## REPORT GEN: 22 ##########
SPECIES: 
Goto           		Mean: 308.2 		Best: 928.41 		N:3
Dunaway        		Mean: 132.84 		Best: 928.41 		N:7
Frazier        		Mean: 152.52 		Best: 924.3 		N:6
Curl           		Mean: 306.75 		Best: 924.3 		N:3
Daughtry       		Mean: 184.62 		Best: 924.3 		N:5
Robinson       		Mean: 306.06 		Best: 924.3 		N:3
Moody          		Mean: 183.38 		Best: 924.3 		N:5
Shanklin       		Mean: 152.1 		Best: 924.3 		N:6
Swiger         		Mean: 306.77 		Best: 924.3 		N:3
Bartsch        		Mean: 131.31 		Best: 924.3 		N:7
Horton         		Mean: 306.58 		Best: 924.3 		N:3
Myers          		Mean: 227.67 		Best: 900.53 		N:4
Labossiere     		Mean: 300.8 		Best: 900.51 		N:3

########## REPORT GEN: 23 ##########
SPECIES: 
Curl           		Mean: 114.12 		Best: 928.41 		N:8
Goto           		Mean: 184.01 		Best: 927.0 		N:5
Shanklin       		Mean: 228.89 		Best: 927.0 		N:4
Frazier        		Mean: 114.99 		Best: 924.3 		N:8
Daughtry       		Mean: 462.15 		Best: 924.3 		N:2
Moody          		Mean: 182.64 		Best: 924.3 		N:5
Swiger         		Mean: 182.91 		Best: 924.3 		N:5
Horton         		Mean: 183.93 		Best: 924.3 		N:5
Labossiere     		Mean: 130.91 		Best: 924.3 		N:7
Robinson       		Mean: 183.27 		Best: 924.07 		N:5
Schaffner      		Mean: 182.8 		Best: 910.64 		N:5
Myers          		Mean: 451.81 		Best: 900.92 		N:2
Dunaway        		Mean: 454.39 		Best: 900.51 		N:2

########## REPORT GEN: 24 ##########
SPECIES: 
Goto           		Mean: 132.32 		Best: 934.99 		N:7
Shanklin       		Mean: 131.13 		Best: 928.41 		N:7
Swiger         		Mean: 183.03 		Best: 928.41 		N:5
