########## REPORT GEN: 2 ##########
SPECIES: 
Valliere       		Mean: 73.16 		Best: 819.78 		N:8
Manuel         		Mean: 117.53 		Best: 816.35 		N:5
George         		Mean: 58.36 		Best: 768.64 		N:8
Thompson       		Mean: 62.76 		Best: 750.73 		N:7
Jones          		Mean: 90.3 		Best: 736.12 		N:6
Gallo          		Mean: 74.17 		Best: 598.99 		N:6
Miller         		Mean: 62.63 		Best: 595.35 		N:8
Burmeister     		Mean: 110.94 		Best: 594.7 		N:4
Bradley        		Mean: 176.39 		Best: 591.75 		N:3

########## REPORT GEN: 20 ##########
SPECIES: 
Gallo          		Mean: 127.67 		Best: 1142.96 		N:5
Smith          		Mean: 70.11 		Best: 1141.8 		N:9
Williams       		Mean: 68.93 		Best: 1121.16 		N:8
Rockwell       		Mean: 133.53 		Best: 1120.27 		N:5
Thompson       		Mean: 121.0 		Best: 1106.81 		N:6
Bradley        		Mean: 128.76 		Best: 1068.27 		N:5
George         		Mean: 87.63 		Best: 930.54 		N:7
Brown          		Mean: 78.11 		Best: 819.78 		N:6
Burmeister     		Mean: 224.02 		Best: 770.82 		N:3
Miller         		Mean: 68.14 		Best: 765.78 		N:8
Rincon         		Mean: 91.19 		Best: 750.67 		N:6
Strawn         		Mean: 63.5 		Best: 744.84 		N:8
Korando        		Mean: 61.51 		Best: 735.99 		N:8
Jessup         		Mean: 180.2 		Best: 721.32 		N:3
Wells          		Mean: 82.18 		Best: 609.53 		N:6
Manuel         		Mean: 266.87 		Best: 598.85 		N:2
Jones          		Mean: 56.51 		Best: 590.65 		N:8
Valliere       		Mean: 153.12 		Best: 356.97 		N:2

########## REPORT GEN: 21 ##########
SPECIES: 
Wells          		Mean: 82.55 		Best: 1127.5 		N:8
Smith          		Mean: 79.73 		Best: 1125.07 		N:7
Miller         		Mean: 64.6 		Best: 1120.79 		N:10
George         		Mean: 66.36 		Best: 1118.24 		N:9
Jessup         		Mean: 81.89 		Best: 1116.38 		N:7
Rockwell       		Mean: 73.61 		Best: 1095.62 		N:8
Williams       		Mean: 105.66 		Best: 930.39 		N:5
Brown          		Mean: 153.26 		Best: 771.36 		N:4
Rincon         		Mean: 235.84 		Best: 763.64 		N:3
Gallo          		Mean: 171.23 		Best: 763.43 		N:3
Burmeister     		Mean: 68.91 		Best: 750.1 		N:8
Thompson       		Mean: 102.56 		Best: 746.86 		N:5
