########## REPORT GEN: 2 ##########
SPECIES: 
Smith          		Mean: 101.63 		Best: 908.17 		N:9
Garza          		Mean: 113.79 		Best: 908.17 		N:8
Duncan         		Mean: 151.88 		Best: 908.17 		N:6
Freeney        		Mean: 151.85 		Best: 908.17 		N:6
Maciel         		Mean: 90.9 		Best: 900.82 		N:10
Walker         		Mean: 227.17 		Best: 900.35 		N:4
Wyatt          		Mean: 113.57 		Best: 900.82 		N:8

########## REPORT GEN: 22 ##########
SPECIES: 
Necaise        		Mean: 131.56 		Best: 934.4 		N:7
Smith          		Mean: 65.49 		Best: 934.4 		N:14
Maciel         		Mean: 153.05 		Best: 934.4 		N:6
Eddings        		Mean: 183.02 		Best: 927.88 		N:5
Duncan         		Mean: 152.11 		Best: 909.11 		N:6
Reid           		Mean: 456.07 		Best: 908.17 		N:2
Freeney        		Mean: 101.22 		Best: 908.17 		N:9
Walker         		Mean: 228.22 		Best: 908.17 		N:4
Wyatt          		Mean: 114.36 		Best: 909.11 		N:8
Whittingham    		Mean: 181.33 		Best: 900.37 		N:5
Ernest         		Mean: 300.82 		Best: 900.42 		N:3
Garza          		Mean: 101.22 		Best: 900.82 		N:9

########## REPORT GEN: 23 ##########
SPECIES: 
Necaise        		Mean: 230.02 		Best: 934.4 		N:4
Duncan         		Mean: 101.77 		Best: 934.4 		N:9
Wyatt          		Mean: 130.6 		Best: 934.4 		N:7
Ernest         		Mean: 183.92 		Best: 919.44 		N:5
Whittingham    		Mean: 91.18 		Best: 909.11 		N:10
Walker         		Mean: 82.67 		Best: 908.17 		N:11
Smith          		Mean: 113.15 		Best: 900.37 		N:8
Eddings        		Mean: 129.0 		Best: 900.23 		N:7
Maciel         		Mean: 151.54 		Best: 900.23 		N:6
Freeney        		Mean: 227.05 		Best: 900.23 		N:4
Reid           		Mean: 451.2 		Best: 900.15 		N:2
Garza          		Mean: 454.09 		Best: 900.11 		N:2

########## REPORT GEN: 24 ##########
SPECIES: 
Duncan         		Mean: 183.95 		Best: 934.4 		N:5
Reid           		Mean: 153.03 		Best: 934.4 		N:6
Eddings        		Mean: 229.59 		Best: 929.58 		N:4
Ernest         		Mean: 183.38 		Best: 919.44 		N:5
Maciel         		Mean: 181.65 		Best: 909.11 		N:5
Freeney        		Mean: 130.62 		Best: 909.11 		N:7
