########## REPORT GEN: 2 ##########
SPECIES: 
Bell           		Mean: 181.05 		Best: 900.84 		N:5
Felipe         		Mean: 301.45 		Best: 900.81 		N:3

########## REPORT GEN: 20 ##########
SPECIES: 
Heminger       		Mean: 91.24 		Best: 915.87 		N:10
Saavedra       		Mean: 306.36 		Best: 915.87 		N:3
Ross           		Mean: 230.32 		Best: 915.87 		N:4
White          		Mean: 130.81 		Best: 910.81 		N:7
Maisonet       		Mean: 182.63 		Best: 910.35 		N:5
Bell           		Mean: 183.31 		Best: 910.33 		N:5
Cassidy        		Mean: 183.03 		Best: 910.12 		N:5
Livezey        		Mean: 113.47 		Best: 900.89 		N:8
Rehkop         		Mean: 452.84 		Best: 900.82 		N:2
Felipe         		Mean: 181.52 		Best: 900.86 		N:5
Chang          		Mean: 181.26 		Best: 900.84 		N:5
Berrios        		Mean: 181.67 		Best: 900.88 		N:5
Hess           		Mean: 226.29 		Best: 900.81 		N:4

########## REPORT GEN: 21 ##########
SPECIES: 
Saavedra       		Mean: 101.52 		Best: 915.87 		N:9
Bell           		Mean: 131.28 		Best: 915.87 		N:7
Cassidy        		Mean: 228.52 		Best: 915.87 		N:4
Felipe         		Mean: 183.47 		Best: 915.87 		N:5
Chang          		Mean: 153.24 		Best: 915.87 		N:6
Maisonet       		Mean: 152.09 		Best: 910.17 		N:6
White          		Mean: 152.11 		Best: 910.12 		N:6
Berrios        		Mean: 228.2 		Best: 907.02 		N:4
Hess           		Mean: 303.71 		Best: 903.41 		N:3
Rehkop         		Mean: 130.33 		Best: 903.17 		N:7
Livezey        		Mean: 450.83 		Best: 900.86 		N:2
Heminger       		Mean: 181.6 		Best: 900.82 		N:5

########## REPORT GEN: 22 ##########
SPECIES: 
Bell           		Mean: 305.22 		Best: 915.87 		N:3
Berrios        		Mean: 153.48 		Best: 915.87 		N:6
Roach          		Mean: 182.42 		Best: 915.87 		N:5
Livezey        		Mean: 152.53 		Best: 912.06 		N:6
Heminger       		Mean: 228.87 		Best: 910.17 		N:4
Cassidy        		Mean: 152.68 		Best: 910.12 		N:6
Ross           		Mean: 304.42 		Best: 903.17 		N:3
Felipe         		Mean: 452.08 		Best: 900.82 		N:2
Hess           		Mean: 181.72 		Best: 900.84 		N:5
Saavedra       		Mean: 181.61 		Best: 900.74 		N:5
Rehkop         		Mean: 226.29 		Best: 900.81 		N:4

########## REPORT GEN: 23 ##########
SPECIES: 
Berrios        		Mean: 183.37 		Best: 915.87 		N:5
Felipe         		Mean: 228.42 		Best: 915.87 		N:4
Chang          		Mean: 458.14 		Best: 915.87 		N:2
Bell           		Mean: 304.65 		Best: 912.06 		N:3
Livezey        		Mean: 152.72 		Best: 911.02 		N:6
Saavedra       		Mean: 228.01 		Best: 903.41 		N:4
White          		Mean: 303.49 		Best: 903.17 		N:3
Rehkop         		Mean: 227.08 		Best: 900.84 		N:4
Cassidy        		Mean: 181.23 		Best: 900.81 		N:5
Roach          		Mean: 452.85 		Best: 900.8 		N:2
Ross           		Mean: 302.36 		Best: 900.7 		N:3
Hess           		Mean: 302.14 		Best: 900.8 		N:3

########## REPORT GEN: 24 ##########
SPECIES: 
Bell           		Mean: 228.42 		Best: 915.87 		N:4
White          		Mean: 152.64 		Best: 915.87 		N:6
Roach          		Mean: 130.57 		Best: 915.87 		N:7
Livezey        		Mean: 182.22 		Best: 912.06 		N:5
Chang          		Mean: 228.47 		Best: 911.02 		N:4
Rehkop         		Mean: 228.3 		Best: 910.12 		N:4
Hess           		Mean: 228.38 		Best: 910.12 		N:4
Maisonet       		Mean: 130.16 		Best: 903.41 		N:7
Heminger       		Mean: 455.78 		Best: 903.17 		N:2
Berrios        		Mean: 452.55 		Best: 900.84 		N:2
Felipe         		Mean: 301.99 		Best: 900.82 		N:3
Saavedra       		Mean: 302.33 		Best: 900.57 		N:3

########## REPORT GEN: 25 ##########
SPECIES: 
Heminger       		Mean: 228.95 		Best: 915.87 		N:4
Felipe         		Mean: 229.53 		Best: 915.87 		N:4
Chang          		Mean: 228.4 		Best: 912.06 		N:4
Berrios        		Mean: 130.14 		Best: 910.12 		N:7
Maisonet       		Mean: 182.33 		Best: 905.26 		N:5
Rehkop         		Mean: 227.89 		Best: 903.41 		N:4
Cassidy        		Mean: 304.16 		Best: 903.17 		N:3
Bell           		Mean: 228.0 		Best: 902.3 		N:4
Saavedra       		Mean: 227.82 		Best: 901.71 		N:4
White          		Mean: 100.83 		Best: 900.84 		N:9
Hess           		Mean: 453.44 		Best: 900.67 		N:2
Livezey        		Mean: 302.65 		Best: 900.75 		N:3

########## REPORT GEN: 26 ##########
SPECIES: 
Felipe         		Mean: 152.41 		Best: 915.87 		N:6
Cassidy        		Mean: 305.71 		Best: 915.87 		N:3
Bell           		Mean: 101.33 		Best: 915.87 		N:9
Hess           		Mean: 101.77 		Best: 915.87 		N:9
Berrios        		Mean: 182.94 		Best: 912.06 		N:5
Livezey        		Mean: 183.19 		Best: 911.02 		N:5
Ross           		Mean: 182.55 		Best: 910.17 		N:5
Heminger       		Mean: 304.05 		Best: 903.17 		N:3
Maisonet       		Mean: 182.31 		Best: 902.58 		N:5
Chang          		Mean: 226.61 		Best: 900.75 		N:4
White          		Mean: 452.99 		Best: 900.62 		N:2
Saavedra       		Mean: 129.81 		Best: 900.81 		N:7
Rehkop         		Mean: 226.7 		Best: 900.82 		N:4

########## REPORT GEN: 27 ##########
SPECIES: 
Berrios        		Mean: 130.4 		Best: 915.87 		N:7
Heminger       		Mean: 152.33 		Best: 915.87 		N:6
Maisonet       		Mean: 152.51 		Best: 915.87 		N:6
White          		Mean: 113.79 		Best: 915.87 		N:8
Saavedra       		Mean: 76.04 		Best: 915.87 		N:12
Livezey        		Mean: 182.24 		Best: 912.06 		N:5
Rehkop         		Mean: 182.32 		Best: 911.02 		N:5
Cassidy        		Mean: 228.08 		Best: 910.33 		N:4
Ross           		Mean: 304.2 		Best: 903.17 		N:3
Chang          		Mean: 182.11 		Best: 902.58 		N:5
Bell           		Mean: 182.01 		Best: 902.3 		N:5
Felipe         		Mean: 181.58 		Best: 900.82 		N:5
Hess           		Mean: 450.95 		Best: 900.49 		N:2

########## REPORT GEN: 28 ##########
SPECIES: 
Berrios        		Mean: 130.14 		Best: 915.87 		N:7
Saavedra       		Mean: 101.62 		Best: 915.87 		N:9
Rehkop         		Mean: 228.08 		Best: 915.87 		N:4
Chang          		Mean: 152.28 		Best: 915.87 		N:6
Bell           		Mean: 182.86 		Best: 915.87 		N:5
