########## REPORT GEN: 2 ##########
SPECIES: 
Houston        		Mean: 0.0  		Best: 0.0 		Nº:2

########## REPORT GEN: 22 ##########
SPECIES: 
Wilson         		Mean: 0.39 		Best: 9.6 		Nº:8
May            		Mean: 0.53 		Best: 9.6 		Nº:10
Lodge          		Mean: 1.57 		Best: 9.6 		Nº:4
Dandy          		Mean: 0.53 		Best: 9.6 		Nº:8
Weaver         		Mean: 1.13 		Best: 9.6 		Nº:8
Lenk           		Mean: 0.83 		Best: 9.6 		Nº:8
Freeland       		Mean: 0.77 		Best: 9.6 		Nº:5
Larimore       		Mean: 1.05 		Best: 9.6 		Nº:6
Jones          		Mean: 0.43 		Best: 9.6 		Nº:9
Moreno         		Mean: 1.07 		Best: 9.6 		Nº:3
Battle         		Mean: 0.97 		Best: 8.71 		Nº:3
Dean           		Mean: 1.1  		Best: 8.71 		Nº:4
Ferreira       		Mean: 0.68 		Best: 8.71 		Nº:7
Page           		Mean: 1.84 		Best: 8.71 		Nº:3
Alvarado       		Mean: 0.46 		Best: 8.71 		Nº:6
Gonzales       		Mean: 0.31 		Best: 7.77 		Nº:5
Stevens        		Mean: 0.0  		Best: 0.0 		Nº:6
Hadlock        		Mean: 0.0  		Best: 0.0 		Nº:4

########## REPORT GEN: 23 ##########
SPECIES: 
Wilson         		Mean: 1.09 		Best: 9.6 		Nº:4
Lodge          		Mean: 0.69 		Best: 9.6 		Nº:8
Dandy          		Mean: 1.7  		Best: 9.6 		Nº:5
Weaver         		Mean: 0.47 		Best: 9.6 		Nº:12
Lenk           		Mean: 0.6  		Best: 9.6 		Nº:9
Freeland       		Mean: 0.85 		Best: 9.6 		Nº:8
Larimore       		Mean: 0.28 		Best: 9.6 		Nº:11
Moreno         		Mean: 0.68 		Best: 9.6 		Nº:7
Battle         		Mean: 1.23 		Best: 9.6 		Nº:6
Ferreira       		Mean: 0.89 		Best: 9.6 		Nº:7
Page           		Mean: 0.7  		Best: 9.6 		Nº:6
Alvarado       		Mean: 0.39 		Best: 9.6 		Nº:5
Gonzales       		Mean: 1.07 		Best: 9.6 		Nº:3
Hadlock        		Mean: 2.41 		Best: 9.6 		Nº:2
May            		Mean: 0.97 		Best: 8.71 		Nº:5
Jones          		Mean: 0.55 		Best: 8.71 		Nº:4
Dean           		Mean: 0.26 		Best: 8.71 		Nº:8
Stevens        		Mean: 0.86 		Best: 7.77 		Nº:3

########## REPORT GEN: 24 ##########
SPECIES: 
Wilson         		Mean: 0.86 		Best: 9.6 		Nº:8
Lodge          		Mean: 0.8  		Best: 9.6 		Nº:6
Dandy          		Mean: 0.79 		Best: 9.6 		Nº:10
Freeland       		Mean: 0.68 		Best: 9.6 		Nº:8
Moreno         		Mean: 1.24 		Best: 9.6 		Nº:6
Battle         		Mean: 0.23 		Best: 9.6 		Nº:11
Ferreira       		Mean: 0.68 		Best: 9.6 		Nº:8
Page           		Mean: 0.97 		Best: 9.6 		Nº:6
Gonzales       		Mean: 0.97 		Best: 9.6 		Nº:6
May            		Mean: 0.51 		Best: 9.6 		Nº:10
Weaver         		Mean: 0.24 		Best: 8.71 		Nº:6
Larimore       		Mean: 0.67 		Best: 8.71 		Nº:5
Jones          		Mean: 0.35 		Best: 8.71 		Nº:5
Stevens        		Mean: 0.49 		Best: 8.71 		Nº:6
Lenk           		Mean: 0.62 		Best: 7.77 		Nº:5
Alvarado       		Mean: 0.0  		Best: 0.0 		Nº:3
Hadlock        		Mean: 0.0  		Best: 0.0 		Nº:4
Dean           		Mean: 0.0  		Best: 0.0 		Nº:4

########## REPORT GEN: 25 ##########
SPECIES: 
Wilson         		Mean: 0.97 		Best: 9.6 		Nº:6
Lodge          		Mean: 1.21 		Best: 9.6 		Nº:6
Dandy          		Mean: 1.4  		Best: 9.6 		Nº:6
Freeland       		Mean: 0.74 		Best: 9.6 		Nº:5
Moreno         		Mean: 0.64 		Best: 9.6 		Nº:9
Battle         		Mean: 0.38 		Best: 9.6 		Nº:5
Ferreira       		Mean: 1.0  		Best: 9.6 		Nº:6
Page           		Mean: 0.54 		Best: 9.6 		Nº:7
Gonzales       		Mean: 1.03 		Best: 9.6 		Nº:7
May            		Mean: 1.09 		Best: 9.6 		Nº:5
Lenk           		Mean: 0.6  		Best: 9.6 		Nº:4
