########## REPORT GEN: 2 ##########
SPECIES: 
Tilson         		Mean: 150.37 		Best: 900.2 		N:6
Brown          		Mean: 129.01 		Best: 900.2 		N:7
Marshall       		Mean: 150.55 		Best: 900.16 		N:6
Yeatts         		Mean: 82.3 		Best: 900.41 		N:11

########## REPORT GEN: 34 ##########
SPECIES: 
Clark          		Mean: 113.56 		Best: 925.53 		N:8
Schulman       		Mean: 82.78 		Best: 928.45 		N:11
Lewis          		Mean: 90.68 		Best: 919.66 		N:10
Marshall       		Mean: 151.29 		Best: 919.29 		N:6
Renz           		Mean: 100.65 		Best: 904.83 		N:9
Tilson         		Mean: 90.36 		Best: 901.07 		N:10
Yeatts         		Mean: 226.26 		Best: 900.22 		N:4
Brown          		Mean: 180.42 		Best: 900.14 		N:5
Smith          		Mean: 181.06 		Best: 900.2 		N:5
Lacroix        		Mean: 181.04 		Best: 900.14 		N:5
Phipps         		Mean: 112.87 		Best: 900.2 		N:8

########## REPORT GEN: 35 ##########
SPECIES: 
Lewis          		Mean: 100.83 		Best: 925.53 		N:9
Brown          		Mean: 75.47 		Best: 925.53 		N:12
Phipps         		Mean: 90.67 		Best: 925.53 		N:10
Schulman       		Mean: 101.02 		Best: 919.66 		N:9
Lacroix        		Mean: 129.92 		Best: 919.29 		N:7
Clark          		Mean: 128.98 		Best: 900.2 		N:7
Renz           		Mean: 100.62 		Best: 900.75 		N:9
Tilson         		Mean: 452.74 		Best: 900.12 		N:2
Smith          		Mean: 129.32 		Best: 900.38 		N:7
Marshall       		Mean: 150.55 		Best: 900.75 		N:6
Yeatts         		Mean: 150.4 		Best: 900.17 		N:6

########## REPORT GEN: 36 ##########
SPECIES: 
Lewis          		Mean: 151.5 		Best: 925.53 		N:6
Phipps         		Mean: 113.67 		Best: 925.53 		N:8
Lacroix        		Mean: 101.1 		Best: 925.53 		N:9
Renz           		Mean: 182.53 		Best: 925.53 		N:5
Brown          		Mean: 130.33 		Best: 919.66 		N:7
Smith          		Mean: 129.82 		Best: 915.23 		N:7
Clark          		Mean: 225.31 		Best: 900.2 		N:4
Yeatts         		Mean: 112.97 		Best: 900.65 		N:8
Tilson         		Mean: 150.51 		Best: 900.73 		N:6
Schulman       		Mean: 301.96 		Best: 900.14 		N:3
Marshall       		Mean: 75.31 		Best: 901.07 		N:12

########## REPORT GEN: 37 ##########
SPECIES: 
Lacroix        		Mean: 227.78 		Best: 925.53 		N:4
Renz           		Mean: 130.33 		Best: 925.53 		N:7
Clark          		Mean: 100.85 		Best: 925.53 		N:9
Schulman       		Mean: 182.26 		Best: 925.53 		N:5
Marshall       		Mean: 130.45 		Best: 925.53 		N:7
Tilson         		Mean: 82.2 		Best: 900.77 		N:11
Smith          		Mean: 129.06 		Best: 900.34 		N:7
Lewis          		Mean: 69.57 		Best: 900.34 		N:13
Phipps         		Mean: 180.9 		Best: 900.65 		N:5
Brown          		Mean: 113.18 		Best: 900.34 		N:8
Yeatts         		Mean: 300.25 		Best: 900.09 		N:3

