########## REPORT GEN: 2 ##########
SPECIES: 
Loynes         		Mean: 91.92 		Best: 941.73 		N:10
Kuo            		Mean: 101.25 		Best: 941.73 		N:9
Loiacono       		Mean: 70.57 		Best: 941.73 		N:13
Olson          		Mean: 76.26 		Best: 941.55 		N:12
Thomas         		Mean: 153.06 		Best: 944.1 		N:6
Marsh          		Mean: 70.19 		Best: 937.1 		N:13
Lodge          		Mean: 302.33 		Best: 915.16 		N:3
Lawrence       		Mean: 152.07 		Best: 912.31 		N:6
Snyder         		Mean: 113.26 		Best: 910.52 		N:8
Whitaker       		Mean: 90.84 		Best: 909.69 		N:10

########## REPORT GEN: 39 ##########
SPECIES: 
Lodge          		Mean: 83.18 		Best: 944.1 		N:11
Thomas         		Mean: 91.43 		Best: 941.73 		N:10
Lawrence       		Mean: 130.8 		Best: 941.73 		N:7
Whitaker       		Mean: 114.46 		Best: 941.73 		N:8
Loynes         		Mean: 101.16 		Best: 941.55 		N:9
Kuo            		Mean: 184.3 		Best: 941.55 		N:5
Loiacono       		Mean: 83.76 		Best: 941.73 		N:11
Snyder         		Mean: 113.1 		Best: 924.16 		N:8
Marsh          		Mean: 151.6 		Best: 916.03 		N:6
Olson          		Mean: 227.58 		Best: 907.17 		N:4

########## REPORT GEN: 40 ##########
SPECIES: 
Snyder         		Mean: 114.87 		Best: 944.1 		N:8
Lawrence       		Mean: 70.09 		Best: 941.73 		N:13
Whitaker       		Mean: 83.59 		Best: 944.1 		N:11
Marsh          		Mean: 70.85 		Best: 941.73 		N:13
Loynes         		Mean: 153.7 		Best: 941.73 		N:6
Thomas         		Mean: 83.08 		Best: 937.1 		N:11
Kuo            		Mean: 227.79 		Best: 920.83 		N:4
Lodge          		Mean: 227.28 		Best: 907.17 		N:4
Olson          		Mean: 113.05 		Best: 905.72 		N:8
Loiacono       		Mean: 224.31 		Best: 901.62 		N:4

########## REPORT GEN: 41 ##########
SPECIES: 
Loynes         		Mean: 307.44 		Best: 944.1 		N:3
Snyder         		Mean: 82.95 		Best: 941.73 		N:11
Lodge          		Mean: 114.43 		Best: 941.73 		N:8
Olson          		Mean: 131.49 		Best: 941.73 		N:7
Whitaker       		Mean: 183.08 		Best: 941.55 		N:5
Marsh          		Mean: 91.06 		Best: 915.22 		N:10
Thomas         		Mean: 82.64 		Best: 911.96 		N:11
Loiacono       		Mean: 180.97 		Best: 908.69 		N:5
Kuo            		Mean: 129.3 		Best: 908.32 		N:7
Lawrence       		Mean: 90.27 		Best: 908.13 		N:10

########## REPORT GEN: 42 ##########
SPECIES: 
Olson          		Mean: 229.5 		Best: 944.1 		N:4
Lawrence       		Mean: 152.41 		Best: 944.1 		N:6
Lodge          		Mean: 69.78 		Best: 941.73 		N:13
Snyder         		Mean: 184.16 		Best: 941.55 		N:5
Kuo            		Mean: 91.85 		Best: 941.73 		N:10
Thomas         		Mean: 152.6 		Best: 932.28 		N:6
Whitaker       		Mean: 101.45 		Best: 931.81 		N:9
Loiacono       		Mean: 129.35 		Best: 906.67 		N:7
Marsh          		Mean: 113.39 		Best: 906.0 		N:8
Loynes         		Mean: 150.51 		Best: 901.17 		N:6

########## REPORT GEN: 43 ##########
SPECIES: 
Olson          		Mean: 61.15 		Best: 944.1 		N:15
Snyder         		Mean: 115.64 		Best: 944.1 		N:8
Thomas         		Mean: 91.85 		Best: 941.73 		N:10
Marsh          		Mean: 130.62 		Best: 941.55 		N:7
Loynes         		Mean: 114.63 		Best: 932.28 		N:8
Whitaker       		Mean: 183.22 		Best: 928.28 		N:5
Kuo            		Mean: 304.62 		Best: 913.91 		N:3
Lawrence       		Mean: 56.54 		Best: 907.4 		N:16
Lodge          		Mean: 100.39 		Best: 907.07 		N:9
Loiacono       		Mean: 180.02 		Best: 904.08 		N:5

########## REPORT GEN: 44 ##########
SPECIES: 
Lodge          		Mean: 101.57 		Best: 944.1 		N:9
Snyder         		Mean: 130.84 		Best: 941.73 		N:7
Marsh          		Mean: 153.17 		Best: 941.55 		N:6
Lawrence       		Mean: 91.76 		Best: 944.1 		N:10
Thomas         		Mean: 100.97 		Best: 928.28 		N:9
Olson          		Mean: 130.1 		Best: 913.91 		N:7
Whitaker       		Mean: 101.2 		Best: 912.67 		N:9
Kuo            		Mean: 182.06 		Best: 910.19 		N:5
Loiacono       		Mean: 69.68 		Best: 908.69 		N:13
Loynes         		Mean: 150.88 		Best: 907.4 		N:6

########## REPORT GEN: 45 ##########
SPECIES: 
Snyder         		Mean: 82.71 		Best: 944.1 		N:11
Marsh          		Mean: 65.04 		Best: 941.73 		N:14
Olson          		Mean: 114.44 		Best: 941.55 		N:8
Kuo            		Mean: 76.27 		Best: 941.05 		N:12
Loynes         		Mean: 151.91 		Best: 941.05 		N:6
Lodge          		Mean: 129.74 		Best: 926.84 		N:7
Loiacono       		Mean: 76.05 		Best: 926.84 		N:12
Thomas         		Mean: 182.11 		Best: 923.86 		N:5
Lawrence       		Mean: 182.1 		Best: 914.62 		N:5
Whitaker       		Mean: 81.89 		Best: 913.91 		N:11

########## REPORT GEN: 46 ##########
SPECIES: 
Kuo            		Mean: 153.22 		Best: 944.1 		N:6
Snyder         		Mean: 57.21 		Best: 943.95 		N:16
Lawrence       		Mean: 91.09 		Best: 941.55 		N:10
Thomas         		Mean: 152.88 		Best: 941.05 		N:6
Olson          		Mean: 129.92 		Best: 926.84 		N:7
Loiacono       		Mean: 90.61 		Best: 926.84 		N:10
Whitaker       		Mean: 130.6 		Best: 923.86 		N:7
