########## REPORT GEN: 2 ##########
SPECIES: 
SPECIES: 
Reynolds       		Mean: 211.45 		Best: 1007.3 		N:3
Taylor         		Mean: 95.93 		Best: 996.85 		N:6
Madina         		Mean: 65.16 		Best: 983.15 		N:9
Goldberger     		Mean: 71.63 		Best: 925.36 		N:7
Trent          		Mean: 138.04 		Best: 834.67 		N:4
Kruse          		Mean: 79.9 		Best: 825.14 		N:7
Watters        		Mean: 46.96 		Best: 803.93 		N:10
Holder         		Mean: 276.26 		Best: 794.9 		N:2
Freeman        		Mean: 82.64 		Best: 761.54 		N:6
Mateo          		Mean: 72.82 		Best: 759.71 		N:6
Tickle         		Mean: 170.34 		Best: 759.3 		N:3
Ragin          		Mean: 287.43 		Best: 759.17 		N:2
Beck           		Mean: 98.38 		Best: 737.24 		N:6
Mcmahon        		Mean: 45.74 		Best: 735.04 		N:10
Ornelas        		Mean: 126.05 		Best: 620.51 		N:4
Pointer        		Mean: 228.02 		Best: 535.46 		N:2
Rodriguez      		Mean: 90.35 		Best: 529.59 		N:5
Moss           		Mean: 105.86 		Best: 523.81 		N:4

########## REPORT GEN: 15 ##########
SPECIES: 
Moss           		Mean: 60.92 		Best: 1004.3 		N:10
Freeman        		Mean: 72.24 		Best: 1000.53 		N:7
Beck           		Mean: 328.0 		Best: 988.1 		N:2
Pointer        		Mean: 104.28 		Best: 975.54 		N:6
Taylor         		Mean: 79.55 		Best: 825.02 		N:8
Kruse          		Mean: 138.06 		Best: 812.36 		N:4
Ragin          		Mean: 93.8 		Best: 795.42 		N:5
Rodriguez      		Mean: 88.5 		Best: 760.68 		N:5
Trent          		Mean: 50.87 		Best: 748.3 		N:9
Ornelas        		Mean: 71.56 		Best: 721.38 		N:7
Tickle         		Mean: 77.74 		Best: 688.57 		N:7
Madina         		Mean: 112.67 		Best: 529.39 		N:4
Goldberger     		Mean: 106.52 		Best: 528.49 		N:4
Mateo          		Mean: 49.02 		Best: 479.71 		N:8
Reynolds       		Mean: 197.03 		Best: 452.47 		N:2
Watters        		Mean: 124.25 		Best: 380.4 		N:3
Mcmahon        		Mean: 174.61 		Best: 353.56 		N:2
Holder         		Mean: 109.36 		Best: 344.63 		N:3

########## REPORT GEN: 16 ##########
SPECIES: 
Mateo          		Mean: 111.4 		Best: 1022.77 		N:6
Goldberger     		Mean: 93.77 		Best: 1012.74 		N:6
Taylor         		Mean: 80.14 		Best: 1003.27 		N:7
Reynolds       		Mean: 140.22 		Best: 987.94 		N:4
Tickle         		Mean: 98.64 		Best: 825.33 		N:6
Mcmahon        		Mean: 188.9 		Best: 811.68 		N:3
Pointer        		Mean: 62.64 		Best: 801.58 		N:8
Moss           		Mean: 108.92 		Best: 794.16 		N:5
Kruse          		Mean: 89.28 		Best: 761.38 		N:5
Holder         		Mean: 71.49 		Best: 759.84 		N:7
Rodriguez      		Mean: 101.73 		Best: 758.69 		N:5
Madina         		Mean: 115.44 		Best: 618.98 		N:4
Beck           		Mean: 54.22 		Best: 528.9 		N:8
Trent          		Mean: 77.24 		Best: 528.21 		N:5
Freeman        		Mean: 57.35 		Best: 517.07 		N:7
Ragin          		Mean: 66.22 		Best: 479.77 		N:6
Watters        		Mean: 66.0 		Best: 363.3 		N:5
Ornelas        		Mean: 114.99 		Best: 350.22 		N:3

########## REPORT GEN: 17 ##########
SPECIES: 
Ornelas        		Mean: 72.93 		Best: 1019.92 		N:8
Freeman        		Mean: 67.21 		Best: 1007.78 		N:8
Mcmahon        		Mean: 62.95 		Best: 1005.48 		N:8
Watters        		Mean: 79.73 		Best: 973.25 		N:7
Rodriguez      		Mean: 75.21 		Best: 836.46 		N:7
Goldberger     		Mean: 114.2 		Best: 825.89 		N:5
Madina         		Mean: 105.82 		Best: 810.09 		N:5
Trent          		Mean: 39.88 		Best: 758.62 		N:10
Mateo          		Mean: 54.05 		Best: 758.58 		N:9
Reynolds       		Mean: 94.76 		Best: 733.53 		N:5
Ragin          		Mean: 85.91 		Best: 721.03 		N:5
Kruse          		Mean: 80.02 		Best: 692.0 		N:6
Tickle         		Mean: 125.46 		Best: 677.35 		N:4
Moss           		Mean: 65.89 		Best: 529.71 		N:6
Pointer        		Mean: 42.9 		Best: 529.17 		N:9
Holder         		Mean: 36.66 		Best: 479.4 		N:10
Taylor         		Mean: 52.65 		Best: 452.31 		N:7
Beck           		Mean: 207.07 		Best: 452.06 		N:2

########## REPORT GEN: 18 ##########
SPECIES: 
Trent          		Mean: 55.59 		Best: 1005.85 		N:10
Freeman        		Mean: 72.49 		Best: 1003.9 		N:9
Holder         		Mean: 44.19 		Best: 1002.3 		N:11
Moss           		Mean: 37.33 		Best: 995.61 		N:12
Madina         		Mean: 57.42 		Best: 982.83 		N:8
Ornelas        		Mean: 86.34 		Best: 933.79 		N:5
Ragin          		Mean: 87.84 		Best: 825.14 		N:5
Reynolds       		Mean: 75.01 		Best: 758.42 		N:6
Kruse          		Mean: 118.2 		Best: 730.87 		N:4
Mateo          		Mean: 69.43 		Best: 722.39 		N:6
Pointer        		Mean: 81.73 		Best: 677.37 		N:5
Beck           		Mean: 50.24 		Best: 567.6 		N:8
Rodriguez      		Mean: 49.79 		Best: 529.35 		N:8
Taylor         		Mean: 64.85 		Best: 480.77 		N:6
Watters        		Mean: 62.36 		Best: 480.14 		N:6
Goldberger     		Mean: 60.33 		Best: 409.12 		N:6
Mcmahon        		Mean: 107.89 		Best: 349.19 		N:3
Tickle         		Mean: 83.35 		Best: 344.87 		N:4

########## REPORT GEN: 19 ##########
SPECIES: 
Tickle         		Mean: 42.75 		Best: 1037.33 		N:10
Freeman        		Mean: 128.39 		Best: 1009.3 		N:4
Rodriguez      		Mean: 34.02 		Best: 1001.51 		N:15
Goldberger     		Mean: 100.94 		Best: 1000.01 		N:6
Ragin          		Mean: 80.88 		Best: 999.45 		N:7
Madina         		Mean: 50.85 		Best: 976.04 		N:8
Pointer        		Mean: 53.11 		Best: 811.28 		N:8
Trent          		Mean: 86.62 		Best: 761.59 		N:5
Moss           		Mean: 31.71 		Best: 730.79 		N:12
Watters        		Mean: 65.33 		Best: 568.57 		N:6
Mcmahon        		Mean: 67.93 		Best: 549.67 		N:6
Kruse          		Mean: 215.08 		Best: 529.67 		N:2
Taylor         		Mean: 40.73 		Best: 523.22 		N:9
Holder         		Mean: 54.04 		Best: 479.15 		N:7
Reynolds       		Mean: 45.15 		Best: 453.03 		N:8
Mateo          		Mean: 134.67 		Best: 452.44 		N:3
Beck           		Mean: 43.85 		Best: 447.84 		N:8
Ornelas        		Mean: 57.47 		Best: 376.97 		N:6

########## REPORT GEN: 20 ##########
SPECIES: 
Mcmahon        		Mean: 127.13 		Best: 1023.39 		N:5
Goldberger     		Mean: 46.19 		Best: 1019.38 		N:9
Beck           		Mean: 162.13 		Best: 1018.17 		N:4
Trent          		Mean: 64.85 		Best: 1012.69 		N:9
Moss           		Mean: 63.56 		Best: 999.63 		N:7
Mateo          		Mean: 44.45 		Best: 998.45 		N:11
Holder         		Mean: 75.14 		Best: 989.85 		N:6
Reynolds       		Mean: 44.67 		Best: 986.18 		N:11
Ornelas        		Mean: 80.85 		Best: 849.39 		N:6
Freeman        		Mean: 67.81 		Best: 567.45 		N:6
Taylor         		Mean: 73.24 		Best: 548.74 		N:6
Madina         		Mean: 103.56 		Best: 523.68 		N:4
Kruse          		Mean: 54.69 		Best: 522.97 		N:7
Rodriguez      		Mean: 93.85 		Best: 516.87 		N:4
Watters        		Mean: 43.03 		Best: 447.97 		N:8
Ragin          		Mean: 87.41 		Best: 398.67 		N:4
Pointer        		Mean: 81.26 		Best: 366.25 		N:4
Tickle         		Mean: 83.55 		Best: 348.01 		N:4

########## REPORT GEN: 21 ##########
SPECIES: 
Kruse          		Mean: 51.88 		Best: 1039.8 		N:8
Freeman        		Mean: 87.92 		Best: 1037.58 		N:7
Madina         		Mean: 96.5 		Best: 1009.21 		N:5
Moss           		Mean: 49.58 		Best: 1005.76 		N:10
Pointer        		Mean: 93.67 		Best: 1001.45 		N:6
Ragin          		Mean: 83.31 		Best: 994.53 		N:6
Holder         		Mean: 56.85 		Best: 914.24 		N:8
Tickle         		Mean: 45.89 		Best: 849.43 		N:9
Trent          		Mean: 41.7 		Best: 849.26 		N:10
Rodriguez      		Mean: 38.93 		Best: 759.23 		N:11
Beck           		Mean: 48.45 		Best: 730.14 		N:8
Ornelas        		Mean: 84.55 		Best: 719.11 		N:5
Reynolds       		Mean: 90.5 		Best: 718.77 		N:5
Watters        		Mean: 53.18 		Best: 422.53 		N:7
Taylor         		Mean: 60.48 		Best: 399.25 		N:6
Goldberger     		Mean: 113.28 		Best: 366.58 		N:3
Mcmahon        		Mean: 82.56 		Best: 345.5 		N:4
Mateo          		Mean: 54.59 		Best: 342.46 		N:6

########## REPORT GEN: 22 ##########
SPECIES: 
Freeman        		Mean: 73.5 		Best: 1034.6 		N:6
Mateo          		Mean: 33.77 		Best: 1020.19 		N:12
Rodriguez      		Mean: 49.96 		Best: 1015.9 		N:9
Goldberger     		Mean: 54.85 		Best: 1009.43 		N:8
Beck           		Mean: 44.97 		Best: 1006.65 		N:9
Taylor         		Mean: 36.93 		Best: 1001.98 		N:12
Watters        		Mean: 41.87 		Best: 999.9 		N:11
Reynolds       		Mean: 91.43 		Best: 970.69 		N:6
Madina         		Mean: 71.0 		Best: 914.7 		N:7
Tickle         		Mean: 87.08 		Best: 849.21 		N:5
Ornelas        		Mean: 45.94 		Best: 847.33 		N:9
Ragin          		Mean: 46.92 		Best: 703.08 		N:8
Mcmahon        		Mean: 38.45 		Best: 694.06 		N:10
Moss           		Mean: 71.32 		Best: 422.57 		N:5
Trent          		Mean: 86.0 		Best: 400.06 		N:4
Kruse          		Mean: 117.78 		Best: 382.38 		N:3
Pointer        		Mean: 105.27 		Best: 338.61 		N:3
Holder         		Mean: 52.12 		Best: 332.94 		N:6

########## REPORT GEN: 23 ##########
SPECIES: 
Ragin          		Mean: 45.66 		Best: 1046.6 		N:9
Kruse          		Mean: 46.96 		Best: 1045.49 		N:9
Watters        		Mean: 51.71 		Best: 1043.67 		N:9
Rodriguez      		Mean: 67.76 		Best: 1037.68 		N:7
Holder         		Mean: 72.79 		Best: 1026.09 		N:7
Mcmahon        		Mean: 75.9 		Best: 1021.27 		N:7
Moss           		Mean: 51.64 		Best: 1014.07 		N:8
Beck           		Mean: 71.04 		Best: 1011.11 		N:7
Pointer        		Mean: 52.61 		Best: 1001.4 		N:8
Goldberger     		Mean: 87.17 		Best: 983.82 		N:5
Trent          		Mean: 38.1 		Best: 874.62 		N:10
Reynolds       		Mean: 64.4 		Best: 762.7 		N:6
Tickle         		Mean: 51.43 		Best: 561.82 		N:7
Madina         		Mean: 53.24 		Best: 398.81 		N:6
Mateo          		Mean: 68.29 		Best: 354.87 		N:5
Freeman        		Mean: 52.45 		Best: 347.93 		N:6
Ornelas        		Mean: 46.11 		Best: 346.63 		N:7
Taylor         		Mean: 103.02 		Best: 321.41 		N:3

########## REPORT GEN: 24 ##########
SPECIES: 
Trent          		Mean: 53.93 		Best: 1048.5 		N:8
Tickle         		Mean: 44.84 		Best: 1038.24 		N:11
Mateo          		Mean: 49.78 		Best: 1020.08 		N:8
Kruse          		Mean: 43.71 		Best: 1019.2 		N:9
Moss           		Mean: 71.39 		Best: 1002.48 		N:6
Beck           		Mean: 90.42 		Best: 999.67 		N:6
Taylor         		Mean: 69.29 		Best: 997.65 		N:7
Mcmahon        		Mean: 29.91 		Best: 992.95 		N:14
Holder         		Mean: 56.95 		Best: 987.92 		N:7
Rodriguez      		Mean: 90.94 		Best: 934.7 		N:5
Goldberger     		Mean: 49.84 		Best: 914.7 		N:8
Pointer        		Mean: 44.2 		Best: 849.16 		N:9
Freeman        		Mean: 57.43 		Best: 568.3 		N:6
Reynolds       		Mean: 48.4 		Best: 561.85 		N:7
Ragin          		Mean: 69.54 		Best: 422.67 		N:5
Watters        		Mean: 41.51 		Best: 398.76 		N:8
Madina         		Mean: 53.61 		Best: 348.41 		N:6
Ornelas        		Mean: 51.86 		Best: 323.05 		N:6

########## REPORT GEN: 25 ##########
SPECIES: 
Kruse          		Mean: 52.05 		Best: 1040.42 		N:10
Mcmahon        		Mean: 45.03 		Best: 1028.57 		N:11
Ornelas        		Mean: 36.5 		Best: 1021.81 		N:12
Beck           		Mean: 51.37 		Best: 1018.95 		N:9
Moss           		Mean: 40.51 		Best: 1009.12 		N:12
Holder         		Mean: 61.0 		Best: 1006.13 		N:7
Madina         		Mean: 69.84 		Best: 1003.67 		N:6
Ragin          		Mean: 41.14 		Best: 995.86 		N:9
Taylor         		Mean: 60.28 		Best: 933.75 		N:7
Pointer        		Mean: 65.68 		Best: 930.59 		N:6
Goldberger     		Mean: 43.03 		Best: 927.31 		N:9
Freeman        		Mean: 56.45 		Best: 914.56 		N:7
Tickle         		Mean: 35.16 		Best: 562.26 		N:10
Mateo          		Mean: 55.89 		Best: 425.04 		N:6
Reynolds       		Mean: 57.05 		Best: 408.53 		N:6
Watters        		Mean: 61.74 		Best: 357.85 		N:5
Trent          		Mean: 42.71 		Best: 329.66 		N:7
Rodriguez      		Mean: 106.31 		Best: 322.34 		N:3

########## REPORT GEN: 26 ##########
SPECIES: 
Beck           		Mean: 54.34 		Best: 1042.49 		N:9
Mcmahon        		Mean: 32.51 		Best: 1038.17 		N:13
Goldberger     		Mean: 122.37 		Best: 1028.4 		N:4
Trent          		Mean: 53.1 		Best: 1015.38 		N:8
Reynolds       		Mean: 71.06 		Best: 1007.61 		N:6
Ornelas        		Mean: 85.56 		Best: 1001.24 		N:6
Freeman        		Mean: 88.71 		Best: 995.45 		N:6
Pointer        		Mean: 31.46 		Best: 995.38 		N:12
Rodriguez      		Mean: 53.02 		Best: 928.51 		N:7
Kruse          		Mean: 67.65 		Best: 914.71 		N:6
Mateo          		Mean: 32.41 		Best: 424.66 		N:10
Watters        		Mean: 32.29 		Best: 398.86 		N:10
Ragin          		Mean: 53.12 		Best: 398.5 		N:6
